"stock_id","type","biomass_limit","ramped_shape","env_linked","p_star","abc_buffer","acl_buffer","act_buffer","n"
"CFMC-Caribbean Queen Conch FMP-Queen conch-Constant catch","Constant catch",0,NA,0,NA,0.9024805059,0,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Angelfish-Constant catch","Constant catch",0,NA,0,NA,0,0.25,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Boxfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Goatfish-Constant catch","Constant catch",0,NA,0,NA,0,0.1,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-Puerto Rico-Groupers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
"CFMC-Caribbean Reef Fish FMP-St. Thomas and St. John-Groupers-Constant catch","Constant catch",0,NA,0,NA,0,0.15,0,1
"CFMC-Caribbean Reef Fish FMP-St. Croix-Groupers-Catch prohibited","Catch prohibited",0,NA,0,NA,0,NA,0,1
