council_short,FMP_FEP,stock,common_name,sci_name,type,p_star,abc_buffer,acl_buffer,act_buffer,notes,ref
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,Honeycomb cowfish,Lactophrys polygonia,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,scrawled cowfish,Lactophrys guadricornis,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,trunkfish,Lactophrys trigonus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,spotted trunkfish,Lactophrys bicaudalis,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,smooth trunkfish,Lactophrys trigueter,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,Honeycomb cowfish,Lactophrys polygonia,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,scrawled cowfish,Lactophrys guadricornis,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,trunkfish,Lactophrys trigonus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,spotted trunkfish,Lactophrys bicaudalis,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,smooth trunkfish,Lactophrys trigueter,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Goatfish,Spotted goatfish,Pseudupeneus maculatus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Goatfish,yellow goatfish,Mulloidichthys martinicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Goatfish,Spotted goatfish,Pseudupeneus maculatus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Goatfish,yellow goatfish,Mulloidichthys martinicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Goatfish,Spotted goatfish,Pseudupeneus maculatus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Goatfish,yellow goatfish,Mulloidichthys martinicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,Nassau grouper,Epinephelus striatus,catch prohibited,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,goliath grouper,Epinephelus itajara,catch prohibited,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,coney,Epinephelus fulvus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,graysby,Epinephelus cruentatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,red hind,Epinephelus guttatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,rock hind,Epinephelus adscensionis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,black grouper,Mycteroperca bonaci,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,red grouper,Epinephelus morio,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,tiger grouper,Mycteroperca tigris,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,yellowfin grouper,Mycteroperca venenosa,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,misty grouper,Epinephelus mystacinus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Groupers,yellowedge grouper,Epinephelus flavolimbatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,Nassau grouper,Epinephelus striatus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,goliath grouper,Epinephelus itajara,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,coney,Epinephelus fulvus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,graysby,Epinephelus cruentatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,red hind,Epinephelus guttatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,rock hind,Epinephelus adscensionis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,black grouper,Mycteroperca bonaci,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,red grouper,Epinephelus morio,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,tiger grouper,Mycteroperca tigris,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,yellowfin grouper,Mycteroperca venenosa,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,misty grouper,Epinephelus mystacinus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Groupers,yellowedge grouper,Epinephelus flavolimbatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,Nassau grouper,Epinephelus striatus,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,goliath grouper,Epinephelus itajara,catch prohibited,NA,0,NA,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,coney,Epinephelus fulvus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,graysby,Epinephelus cruentatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,red hind,Epinephelus guttatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,rock hind,Epinephelus adscensionis,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,black grouper,Mycteroperca bonaci,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,red grouper,Epinephelus morio,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,tiger grouper,Mycteroperca tigris,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,yellowfin grouper,Mycteroperca venenosa,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,misty grouper,Epinephelus mystacinus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Groupers,yellowedge grouper,Epinephelus flavolimbatus,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,White grunt,Haemulon plumieri,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,margate,Haemulon album,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,tomtate,Haemulon aurolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,bluestriped grunt,Haemulon sciurus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,French grunt,Haemulon flavolineatum,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Grunts,porkfish,Anisotremus virginicus,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,White grunt,Haemulon plumieri,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Grunts,margate,Haemulon album,constant catch,NA,0,0.1,0,,
