council,council_short,FMP_FEP,stock,common_name,sci_name,tier_level,type,notes,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Queen Conch FMP,Queen conch,Queen conch,Strombus gigas,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Angelfish,Queen angelfish,Holacanthus ciliaris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Angelfish,gray angelfish,Pomacanthus arcuatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Angelfish,French angelfish,Pomacanthus paru,NA,constant catch,,,,,,Puerto Rico Reef Fish
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Angelfish,Queen angelfish,Holacanthus ciliaris,NA,constant catch,,,,,,Puerto Rico Reef Fish
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Angelfish,gray angelfish,Pomacanthus arcuatus,NA,constant catch,,,,,,Puerto Rico Reef Fish
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Angelfish,French angelfish,Pomacanthus paru,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Angelfish,Queen angelfish,Holacanthus ciliaris,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Angelfish,gray angelfish,Pomacanthus arcuatus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Angelfish,French angelfish,Pomacanthus paru,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,Honeycomb cowfish,Lactophrys polygonia,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,scrawled cowfish,Lactophrys guadricornis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,trunkfish,Lactophrys trigonus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,spotted trunkfish,Lactophrys bicaudalis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,Puerto Rico-Boxfish,smooth trunkfish,Lactophrys trigueter,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,Honeycomb cowfish,Lactophrys polygonia,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,scrawled cowfish,Lactophrys guadricornis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,trunkfish,Lactophrys trigonus,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,spotted trunkfish,Lactophrys bicaudalis,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Boxfish,smooth trunkfish,Lactophrys trigueter,NA,constant catch,,,,,,
Caribbean Fishery Management Council,CFMC,Caribbean Reef Fish FMP,St. Croix-Boxfish,Honeycomb cowfish,Lactophrys polygonia,NA,constant catch,,,,,,
