STOCK_OR_COMPLEX,AREA,CATEGORY,PROBABILITY,ABC_BUFFER_FRACTION,ref,url
Quillback,CA,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Yelloweye Rockfish,CW,1 (Year Based),0.4,0.16,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Arrowtooth Flounder,CW,2 (Year Based),0.4,0.294,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Big Skate,CW,2 (Year Based),0.45,0.143,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black Rockfish,WA,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Black Rockfish,CA,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Bocaccio,S of 4010,1 (Year Based),0.45,0.083,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,3427 - 42,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,S of 3427,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp Greenling,WA,3 (Year Based),0.45,0.222,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cabezon,OR,1 (Year Based),0.45,0.074,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Kelp Greenling,OR,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
California Scorpionfish,CW,CA Scorpionfish (Year Based),0.45,0.096,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Canary Rockfish,CW,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Chilipepper,S of 4010,1 (Year Based),0.45,0.091,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cowcod,4010 - 3427,3 (Year Based),0.4,0.398,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Cowcod,S of 3427,2 (Year Based),0.4,0.267,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Darkblotched Rockfish,CW,1 (Year Based),0.45,0.083,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Dover Sole,CW,1 (Year Based),0.45,0.065,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
English Sole,CW,2 (Year Based),0.45,0.19,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Lingcod,N of 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
Lingcod,S of 4010,2 (Year Based),0.45,0.126,GMT008 - Draft Annual Groundfish Harvest Specifications,https://reports.psmfc.org/
