"council","stock_name","stock_area","comm_name","sci_name"
"NEFMC","Red hake - Gulf of Maine / Northern Georges Bank","Gulf of Maine / Northern Georges Bank","Red hake","Urophycis chuss"
"NEFMC","Red hake - Southern Georges Bank / Mid-Atlantic","Southern Georges Bank / Mid-Atlantic","Red hake","Urophycis chuss"
"NEFMC","Rosette skate - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Rosette skate","Leucoraja garmani"
"NEFMC","Sea scallop - Northwestern Atlantic Coast","Northwestern Atlantic Coast","Sea scallop","Placopecten magellanicus"
"NEFMC","Silver hake - Gulf of Maine / Northern Georges Bank","Gulf of Maine / Northern Georges Bank","Silver hake","Merluccius bilinearis"
"NEFMC","Silver hake - Southern Georges Bank / Mid-Atlantic","Southern Georges Bank / Mid-Atlantic","Silver hake","Merluccius bilinearis"
"NEFMC","Smooth skate - Gulf of Maine","Gulf of Maine","Smooth skate","Malacoraja senta"
"NEFMC","Thorny skate - Gulf of Maine","Gulf of Maine","Thorny skate","Amblyraja radiata"
"NEFMC","White hake - Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","White hake","Urophycis tenuis"
"NEFMC","Windowpane - Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","Windowpane","Scophthalmus aquosus"
"NEFMC","Windowpane - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Windowpane","Scophthalmus aquosus"
"NEFMC","Winter flounder - Georges Bank","Georges Bank","Winter flounder","Pseudopleuronectes americanus"
"NEFMC","Winter flounder - Gulf of Maine","Gulf of Maine","Winter flounder","Pseudopleuronectes americanus"
"NEFMC","Winter flounder - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Winter flounder","Pseudopleuronectes americanus"
"NEFMC","Winter skate - Georges Bank / Southern New England","Georges Bank / Southern New England","Winter skate","Leucoraja ocellata"
"NEFMC","Witch flounder - Northwestern Atlantic Coast","Northwestern Atlantic Coast","Witch flounder","Glyptocephalus cynoglossus"
"NEFMC","Yellowtail flounder - Cape Cod / Gulf of Maine","Cape Cod / Gulf of Maine","Yellowtail flounder","Limanda ferruginea"
"NEFMC","Yellowtail flounder - Georges Bank","Georges Bank","Yellowtail flounder","Limanda ferruginea"
"NEFMC","Yellowtail flounder - Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","Yellowtail flounder","Limanda ferruginea"
"NEFMC/MAFMC","Goosefish - Gulf of Maine / Northern Georges Bank","Gulf of Maine / Northern Georges Bank","Goosefish","Lophius americanus"
"NEFMC/MAFMC","Goosefish - Southern Georges Bank / Mid-Atlantic","Southern Georges Bank / Mid-Atlantic","Goosefish","Lophius americanus"
"NEFMC/MAFMC","Spiny dogfish - Atlantic Coast","Atlantic Coast","Spiny dogfish","Squalus acanthias"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Albacore - North Atlantic","North Atlantic","Albacore","Thunnus alalunga"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Atlantic sharpnose shark - Atlantic","Atlantic","Atlantic sharpnose shark","Rhizoprionodon terraenovae"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Atlantic sharpnose shark - Gulf of Mexico","Gulf of Mexico","Atlantic sharpnose shark","Rhizoprionodon terraenovae"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Bigeye tuna - Atlantic","Atlantic","Bigeye tuna","Thunnus obesus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blacknose shark - Atlantic","Atlantic","Blacknose shark","Carcharhinus acronotus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blacknose shark - Gulf of Mexico","Gulf of Mexico","Blacknose shark","Carcharhinus acronotus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blacktip shark - Atlantic","Atlantic","Blacktip shark","Carcharhinus limbatus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blacktip shark - Gulf of Mexico","Gulf of Mexico","Blacktip shark","Carcharhinus limbatus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blue marlin - Atlantic","Atlantic","Blue marlin","Makaira nigricans"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Blue shark - North Atlantic","North Atlantic","Blue shark","Prionace glauca"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Bluefin tuna - Western Atlantic","Western Atlantic","Bluefin tuna","Thunnus thynnus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Dusky shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","Dusky shark","Carcharhinus obscurus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Finetooth shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","Finetooth shark","Carcharhinus isodon"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Porbeagle - Northwestern Atlantic","Northwestern Atlantic","Porbeagle","Lamna nasus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Sailfish - Western Atlantic","Western Atlantic","Sailfish","Istiophorus platypterus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Sandbar shark - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","Sandbar shark","Carcharhinus plumbeus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Scalloped hammerhead - Atlantic and Gulf of Mexico","Atlantic and Gulf of Mexico","Scalloped hammerhead","Sphyrna lewini"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Shortfin mako - North Atlantic","North Atlantic","Shortfin mako","Isurus oxyrinchus"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Skipjack tuna - Western Atlantic","Western Atlantic","Skipjack tuna","Katsuwonus pelamis"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Smooth dogfish - Atlantic","Atlantic","Smooth dogfish","Mustelus canis"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Swordfish - North Atlantic","North Atlantic","Swordfish","Xiphias gladius"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","White marlin - Atlantic","Atlantic","White marlin","Kajikia albida"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Yellowfin tuna - Atlantic","Atlantic","Yellowfin tuna","Thunnus albacares"
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Atlantic Small Coastal Shark Complex",NA,NA,NA
"NEFMC/MAFMC/SAFMC/GFMC/CFMC","Gulf Smoothhound Complex",NA,NA,NA
"NPFMC","Alaska plaice - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Alaska plaice","Pleuronectes quadrituberculatus"
"NPFMC","Alaska skate - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Alaska skate","Bathyraja parmifera"
"NPFMC","Arrowtooth flounder - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Arrowtooth flounder","Reinhardtius stomias"
"NPFMC","Arrowtooth flounder - Gulf of Alaska","Gulf of Alaska","Arrowtooth flounder","Reinhardtius stomias"
"NPFMC","Atka mackerel - Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","Atka mackerel","Pleurogrammus monopterygius"
"NPFMC","Atka mackerel - Gulf of Alaska","Gulf of Alaska","Atka mackerel","Pleurogrammus monopterygius"
"NPFMC","Big skate - Gulf of Alaska","Gulf of Alaska","Big skate","Raja binoculata"
"NPFMC","Blue king crab - Pribilof Islands","Pribilof Islands","Blue king crab","Paralithodes platypus"
"NPFMC","Blue king crab - Saint Matthew Island","Saint Matthew Island","Blue king crab","Paralithodes platypus"
