"council","stock_name","stock_area","comm_name","sci_name"
"PFMC","Chinook salmon - Washington Coast: Hoh Spring/Summer","Washington Coast: Hoh Spring/Summer","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Hoko Summer/Fall","Washington Coast: Hoko Summer/Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Queets Fall","Washington Coast: Queets Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Queets Spring/Summer","Washington Coast: Queets Spring/Summer","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Quillayute Fall","Washington Coast: Quillayute Fall","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Quillayute Spring/Summer","Washington Coast: Quillayute Spring/Summer","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Quinault Fall Hatchery","Washington Coast: Quinault Fall Hatchery","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery","Washington Coast: Willapa Bay Fall Hatchery","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Chinook salmon - Washington Coast: Willapa Bay Fall Natural","Washington Coast: Willapa Bay Fall Natural","Chinook salmon","Oncorhynchus tshawytscha"
"PFMC","Coho salmon - Oregon Production Index Area: Central California Coast","Oregon Production Index Area: Central California Coast","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery","Oregon Production Index Area: Columbia River Early Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery","Oregon Production Index Area: Columbia River Late Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Lower Columbia Natural","Oregon Production Index Area: Lower Columbia Natural","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery","Oregon Production Index Area: Oregon Coast Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Oregon Coast Natural","Oregon Production Index Area: Oregon Coast Natural","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast","Oregon Production Index Area: Southern Oregon/Northern California Coast","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Puget Sound: Hood Canal","Puget Sound: Hood Canal","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Puget Sound: Skagit","Puget Sound: Skagit","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Puget Sound: Snohomish","Puget Sound: Snohomish","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Puget Sound: South Puget Sound Hatchery","Puget Sound: South Puget Sound Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Puget Sound: Stillaguamish","Puget Sound: Stillaguamish","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Grays Harbor","Washington Coast: Grays Harbor","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Hoh","Washington Coast: Hoh","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Queets","Washington Coast: Queets","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Quillayute Fall","Washington Coast: Quillayute Fall","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Quillayute Summer Hatchery","Washington Coast: Quillayute Summer Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Quinault Hatchery","Washington Coast: Quinault Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Strait of Juan de Fuca","Washington Coast: Strait of Juan de Fuca","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Willapa Bay Hatchery","Washington Coast: Willapa Bay Hatchery","Coho salmon","Oncorhynchus kisutch"
"PFMC","Coho salmon - Washington Coast: Willapa Bay Natural","Washington Coast: Willapa Bay Natural","Coho salmon","Oncorhynchus kisutch"
"PFMC","Copper rockfish - Pacific Coast","Pacific Coast","Copper rockfish","Sebastes caurinus"
"PFMC","Cowcod - Southern California","Southern California","Cowcod","Sebastes levis"
"PFMC","Darkblotched rockfish - Pacific Coast","Pacific Coast","Darkblotched rockfish","Sebastes crameri"
"PFMC","Dover sole - Pacific Coast","Pacific Coast","Dover sole","Microstomus pacificus"
"PFMC","English sole - Pacific Coast","Pacific Coast","English sole","Parophrys vetulus"
"PFMC","Greenspotted rockfish - Pacific Coast","Pacific Coast","Greenspotted rockfish","Sebastes chlorostictus"
"PFMC","Greenstriped rockfish - Pacific Coast","Pacific Coast","Greenstriped rockfish","Sebastes elongatus"
"PFMC","Kelp greenling - Oregon","Oregon","Kelp greenling","Hexagrammos decagrammus"
"PFMC","Lingcod - Northern Pacific Coast","Northern Pacific Coast","Lingcod","Ophiodon elongatus"
"PFMC","Lingcod - Southern Pacific Coast","Southern Pacific Coast","Lingcod","Ophiodon elongatus"
"PFMC","Longnose skate - Pacific Coast","Pacific Coast","Longnose skate","Raja rhina"
"PFMC","Longspine thornyhead - Pacific Coast","Pacific Coast","Longspine thornyhead","Sebastolobus altivelis"
"PFMC","Pacific chub mackerel - Pacific Coast","Pacific Coast","Pacific chub mackerel","Scomber japonicus"
"PFMC","Pacific hake - Pacific Coast","Pacific Coast","Pacific hake","Merluccius productus"
"PFMC","Pacific ocean perch - Pacific Coast","Pacific Coast","Pacific ocean perch","Sebastes alutus"
"PFMC","Pacific sanddab - Pacific Coast","Pacific Coast","Pacific sanddab","Citharichthys sordidus"
"PFMC","Pacific sardine - Northern Subpopulation","Northern Subpopulation","Pacific sardine","Sardinops sagax"
"PFMC","Petrale sole - Pacific Coast","Pacific Coast","Petrale sole","Eopsetta jordani"
"PFMC","Pink salmon - Puget Sound","Puget Sound","Pink salmon","Oncorhynchus gorbuscha"
"PFMC","Rex sole - Pacific Coast","Pacific Coast","Rex sole","Glyptocephalus zachirus"
"PFMC","Sablefish - Pacific Coast","Pacific Coast","Sablefish","Anoplopoma fimbria"
"PFMC","Sharpchin rockfish - Pacific Coast","Pacific Coast","Sharpchin rockfish","Sebastes zacentrus"
"PFMC","Shortbelly rockfish - Pacific Coast","Pacific Coast","Shortbelly rockfish","Sebastes jordani"
"PFMC","Shortspine thornyhead - Pacific Coast","Pacific Coast","Shortspine thornyhead","Sebastolobus alascanus"
"PFMC","Spiny dogfish - Pacific Coast","Pacific Coast","Spiny dogfish","Squalus acanthias"
"PFMC","Splitnose rockfish - Pacific Coast","Pacific Coast","Splitnose rockfish","Sebastes diploproa"
"PFMC","Starry flounder - Northern Pacific Coast","Northern Pacific Coast","Starry flounder","Platichthys stellatus"
"PFMC","Starry flounder - Pacific Coast","Pacific Coast","Starry flounder","Platichthys stellatus"
"PFMC","Starry flounder - Southern Pacific Coast","Southern Pacific Coast","Starry flounder","Platichthys stellatus"
"PFMC","Stripetail rockfish - Pacific Coast","Pacific Coast","Stripetail rockfish","Sebastes saxicola"
"PFMC","Widow rockfish - Pacific Coast","Pacific Coast","Widow rockfish","Sebastes entomelas"
"PFMC","Yelloweye rockfish - Pacific Coast","Pacific Coast","Yelloweye rockfish","Sebastes ruberrimus"
"PFMC","Yellowtail rockfish - Northern Pacific Coast","Northern Pacific Coast","Yellowtail rockfish","Sebastes flavidus"
"PFMC","Yellowtail rockfish - Southern Pacific Coast","Southern Pacific Coast","Yellowtail rockfish","Sebastes flavidus"
"PFMC","California Blue and Deacon Rockfish Complex",NA,NA,NA
"PFMC","Northern California Gopher / Black-and-Yellow Rockfish Complex","Northern California",NA,NA
"PFMC","Oregon Blue and Deacon Rockfish Complex",NA,NA,NA
"PFMC","Pacific Coast Blackspotted and Rougheye Rockfish Complex",NA,NA,NA
"PFMC/WPFMC","Albacore - North Pacific","North Pacific","Albacore","Thunnus alalunga"
"PFMC/WPFMC","Bigeye thresher - Pacific","Pacific","Bigeye thresher","Alopias superciliosus"
"PFMC/WPFMC","Bigeye tuna - Eastern Pacific","Eastern Pacific","Bigeye tuna","Thunnus obesus"
"PFMC/WPFMC","Bigeye tuna - Western and Central Pacific","Western and Central Pacific","Bigeye tuna","Thunnus obesus"
"PFMC/WPFMC","Blue shark - North Pacific","North Pacific","Blue shark","Prionace glauca"
"PFMC/WPFMC","Pacific bluefin tuna - Pacific","Pacific","Pacific bluefin tuna","Thunnus orientalis"
"PFMC/WPFMC","Shortfin mako - North Pacific","North Pacific","Shortfin mako","Isurus oxyrinchus"
"PFMC/WPFMC","Skipjack tuna - Eastern Pacific","Eastern Pacific","Skipjack tuna","Katsuwonus pelamis"
"PFMC/WPFMC","Skipjack tuna - Western and Central Pacific","Western and Central Pacific","Skipjack tuna","Katsuwonus pelamis"
"PFMC/WPFMC","Striped marlin - Eastern Pacific","Eastern Pacific","Striped marlin","Kajikia audax"
"PFMC/WPFMC","Striped marlin - Western and Central North Pacific","Western and Central North Pacific","Striped marlin","Kajikia audax"
"PFMC/WPFMC","Swordfish - Eastern Pacific","Eastern Pacific","Swordfish","Xiphias gladius"
"PFMC/WPFMC","Swordfish - Western and Central North Pacific","Western and Central North Pacific","Swordfish","Xiphias gladius"
"PFMC/WPFMC","Thresher shark - North Pacific","North Pacific","Thresher shark","Alopias vulpinus"
"PFMC/WPFMC","Yellowfin tuna - Eastern Pacific","Eastern Pacific","Yellowfin tuna","Thunnus albacares"
"PFMC/WPFMC","Yellowfin tuna - Western and Central Pacific","Western and Central Pacific","Yellowfin tuna","Thunnus albacares"
"SAFMC","Black sea bass - Southern Atlantic Coast","Southern Atlantic Coast","Black sea bass","Centropristis striata"
"SAFMC","Blueline tilefish - Southern Atlantic Coast","Southern Atlantic Coast","Blueline tilefish","Caulolatilus microps"
"SAFMC","Brown rock shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Brown rock shrimp","Sicyonia brevirostris"
"SAFMC","Brown shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Brown shrimp","Farfantepenaeus aztecus"
"SAFMC","Gag - Southern Atlantic Coast","Southern Atlantic Coast","Gag","Mycteroperca microlepis"
"SAFMC","Gray triggerfish - Southern Atlantic Coast","Southern Atlantic Coast","Gray triggerfish","Balistes capriscus"
"SAFMC","Greater amberjack - Southern Atlantic Coast","Southern Atlantic Coast","Greater amberjack","Seriola dumerili"
"SAFMC","Hogfish - Carolinas","Carolinas","Hogfish","Lachnolaimus maximus"
"SAFMC","Hogfish - Florida Keys / East Florida","Florida Keys / East Florida","Hogfish","Lachnolaimus maximus"
"SAFMC","Pink shrimp - Southern Atlantic Coast","Southern Atlantic Coast","Pink shrimp","Farfantepenaeus duorarum"
"SAFMC","Red grouper - Southern Atlantic Coast","Southern Atlantic Coast","Red grouper","Epinephelus morio"
"SAFMC","Red porgy - Southern Atlantic Coast","Southern Atlantic Coast","Red porgy","Pagrus pagrus"
"SAFMC","Red snapper - Southern Atlantic Coast","Southern Atlantic Coast","Red snapper","Lutjanus campechanus"
"SAFMC","Snowy grouper - Southern Atlantic Coast","Southern Atlantic Coast","Snowy grouper","Epinephelus niveatus"
"SAFMC","Tilefish - Southern Atlantic Coast","Southern Atlantic Coast","Tilefish","Lopholatilus chamaeleonticeps"
"SAFMC","Vermilion snapper - Southern Atlantic Coast","Southern Atlantic Coast","Vermilion snapper","Rhomboplites aurorubens"
"SAFMC","White shrimp - Southern Atlantic Coast","Southern Atlantic Coast","White shrimp","Litopenaeus setiferus"
"SAFMC","Wreckfish - Southern Atlantic Coast","Southern Atlantic Coast","Wreckfish","Polyprion americanus"
"SAFMC/GMFMC","Black grouper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Black grouper","Mycteroperca bonaci"
"SAFMC/GMFMC","Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Caribbean spiny lobster","Panulirus argus"
"SAFMC/GMFMC","Cobia - Gulf of Mexico","Gulf of Mexico","Cobia","Rachycentron canadum"
"SAFMC/GMFMC","Goliath grouper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Goliath grouper","Epinephelus itajara"
"SAFMC/GMFMC","King mackerel - Gulf of Mexico","Gulf of Mexico","King mackerel","Scomberomorus cavalla"
"SAFMC/GMFMC","King mackerel - Southern Atlantic Coast","Southern Atlantic Coast","King mackerel","Scomberomorus cavalla"
"SAFMC/GMFMC","Mutton snapper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Mutton snapper","Lutjanus analis"
"SAFMC/GMFMC","Spanish mackerel - Gulf of Mexico","Gulf of Mexico","Spanish mackerel","Scomberomorus maculatus"
"SAFMC/GMFMC","Spanish mackerel - Southern Atlantic Coast","Southern Atlantic Coast","Spanish mackerel","Scomberomorus maculatus"
"SAFMC/GMFMC","Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Yellowtail snapper","Ocyurus chrysurus"
"WPFMC","Albacore - South Pacific","South Pacific","Albacore","Thunnus alalunga"
"WPFMC","Bigeye bream - Guam","Guam","Bigeye bream","Monotaxis grandoculis"
"WPFMC","Blacktail snapper - Guam","Guam","Blacktail snapper","Lutjanus fulvus"
"WPFMC","Blue marlin - Pacific","Pacific","Blue marlin","Makaira nigricans"
"WPFMC","Bluefin trevally - Guam","Guam","Bluefin trevally","Caranx melampygus"
"WPFMC","Bluespine unicornfish - Guam","Guam","Bluespine unicornfish","Naso unicornis"
"WPFMC","Bullethead parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Bullethead parrotfish","Chlorurus sordidus"
"WPFMC","Crimson jobfish - Main Hawaiian Islands","Main Hawaiian Islands","Crimson jobfish","Pristipomoides filamentosus"
"WPFMC","Filament-f inned parrotfish - Guam","Guam","Filament-finned parrotfish","Scarus altipinnis"
"WPFMC","Giant trevally - Main Hawaiian Islands","Main Hawaiian Islands","Giant trevally","Caranx ignobilis"
"WPFMC","Goatfish (Parupeneus porphyreus) - Main Hawaiian Islands","Main Hawaiian Islands","Goatfish (Parupeneus porphyreus)","Parupeneus porphyreus"
"WPFMC","Green jobfish - Main Hawaiian Islands","Main Hawaiian Islands","Green jobfish","Aprion virescens"
"WPFMC","Humpback red snapper - Guam","Guam","Humpback red snapper","Lutjanus gibbus"
"WPFMC","Island jack - Guam","Guam","Island jack","Carangoides orthogrammus"
"WPFMC","Longnose emperor - Guam","Guam","Longnose emperor","Lethrinus olivaceus"
"WPFMC","Oceanic whitetip shark - Western and Central Pacific","Western and Central Pacific","Oceanic whitetip shark","Carcharhinus longimanus"
"WPFMC","Pacific longnose parrotfish - Guam","Guam","Pacific longnose parrotfish","Hipposcarus longiceps"
"WPFMC","Palenose parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Palenose parrotfish","Scarus psittacus"
"WPFMC","Redlip parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Redlip parrotfish","Scarus rubroviolaceus"
"WPFMC","Redlip parrotfish - Guam","Guam","Redlip parrotfish","Scarus rubroviolaceus"
"WPFMC","Regal parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Regal parrotfish","Scarus dubius"
"WPFMC","Shortnosed unicornfish - Main Hawaiian Islands","Main Hawaiian Islands","Shortnosed unicornfish","Naso brevirostris"
"WPFMC","Silky shark - Western and Central Pacific","Western and Central Pacific","Silky shark","Carcharhinus falciformis"
"WPFMC","Sleek unicornfish - Main Hawaiian Islands","Main Hawaiian Islands","Sleek unicornfish","Naso hexacanthus"
"WPFMC","Spanner crab - Main Hawaiian Islands","Main Hawaiian Islands","Spanner crab","Ranina ranina"
"WPFMC","Spectacled parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Spectacled parrotfish","Chlorurus perspicillatus"
"WPFMC","Stareye parrotfish - Main Hawaiian Islands","Main Hawaiian Islands","Stareye parrotfish","Calotomus carolinus"
"WPFMC","Steephead parrotfish - Guam","Guam","Steephead parrotfish","Chlorurus microrhinos"
"WPFMC","Twosaddle goatfish - Main Hawaiian Islands","Main Hawaiian Islands","Twosaddle goatfish","Parupeneus insularis"
"WPFMC","Yellowfin goatfish - Main Hawaiian Islands","Main Hawaiian Islands","Yellowfin goatfish","Mulloidichthys vanicolensis"
"WPFMC","Yellowlip emperor - Guam","Guam","Yellowlip emperor","Lethrinus xanthochilus"
"WPFMC","Yellowstripe goatfish - Main Hawaiian Islands","Main Hawaiian Islands","Yellowstripe goatfish","Mulloidichthys flavolineatus"
"WPFMC","American Samoa Bottomfish Multi-species Complex",NA,NA,NA
"WPFMC","Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex",NA,NA,NA
"WPFMC","Guam Bottomfish Multi-species Complex",NA,NA,NA
"WPFMC","Northern Mariana Islands Bottomfish Multi-species Complex",NA,NA,NA
