"YEAR","STOCK_OR_COMPLEX","AREA","CATEGORY","PROBABILITY","ABC_BUFFER_FRACTION","OFL","ABC","ACL","STOCK_STATUS","NOTES","ASSESS_YEAR","ASSESS_TYPE","ASSESS_AUTHOR","SPR_HR","MOST_RECENT_STOCK_ASSESSMENT_LINK","SSC_REPORT_LINK","REBUILDING_ANALYSIS_LINK","UPDATED_HARVEST_SPECIFICATION_PROJECTIONS_LINK"
2023,"Quillback","CA","2 (Year Based)",.45,.126,,,,"Overfished","OFL projected using a 50% SPR harvest rate from the 2021 assessment of quillback rockfish in CA.&nbsp; Spex TBD once revised values are available.",2021,"Data-moderate","Langseth",,"","","",""
2023,"Yelloweye Rockfish","CW","1 (Year Based)",.4,.16,123,103,66,"Rebuilding","OFL projected using a 50% SPR harvest rate in the 2017 stock assessment.&nbsp; ACL projected using a 65% SPR harvest rate in the 2017 stock assessment.&nbsp; Sector-specific ACTs projected using a 70% SPR harvest rate in the 2017 stock assessment.",2017,"Full","Gertseva",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/12/stock-assessment-of-the-yelloweye-rockfish-sebastes-ruberrimus-in-state-and-federal-waters-off-california-oregon-and-washington.pdf/"",""2017 Yelloweye Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/09/e8a_sup_ssc_rpt1_stock_assessments_sept2017bb.pdf/#page=3"",""SSC Report on the 2017 Yelloweye Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/01/rebuilding-analysis-for-yelloweye-rockfish-sebastes-ruberrimus-based-on-the-2017-stock-assessment.pdf/"",""2017 Yelloweye Rockfish Rebuilding Analysis"")",""
2023,"Arrowtooth Flounder","CW","2 (Year Based)",.4,.294,26391,18632,18632,"Non-Overfished","OFL based on the 2021 catch-only update of the 2017 update assessment.",2017,"Update","Sampson",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/12/2017-assessment-update-for-the-us-west-coast-stock-of-arrowtooth-flounder.pdf/"",""2017 Arrowtooth Flounder Update Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/06/f4a_sup_ssc_rpt_assessents_final_jun2017bb-1.pdf/"",""SSC Report on the 2017 Arrowtooth Flounder Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2021/08/c-6-attachment-9-catch-only-projection-for-arrowtooth-flounder-atheresthes-stomias-in-2021.pdf/"",""2021 arrowtooth flounder catch-only update"")"
2023,"Big Skate","CW","2 (Year Based)",.45,.143,1541,1320,1320,"Non-Overfished","OFL projected using a 50% SPR harvest rate in the 2019 big skate assessment.",2019,"Full","Taylor",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/status-of-big-skate-beringraja-binoculata-off-the-u-s-pacifc-coast-in-2019-october-2019.pdf/"",""2019 Big Skate Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Big Skate Assessment"")","",""
2023,"Black Rockfish","WA","1 (Year Based)",.45,.091,319,290,290,"Non-Overfished","OFL projected using a 50% SPR from the 2019 catch-only projection update.",2015,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/03/assessments-of-california-oregon-and-washington-stocks-of-black-rockfish-sebastes-melanops-in-2015-published-03-31-2016.pdf/"",""2015 Black Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2007/09/g-groundfish-management-september-2007.pdf/#page=1515"",""SSC Report on the 2015 Black Rockfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-attachment-15.pdf/"",""2019 Catch-Only Projection Update for Black Rockfish"")"
2023,"Black Rockfish","CA","1 (Year Based)",.45,.091,368,334,334,"Non-Overfished","OFL projected using a 50% SPR from the 2019 catch-only projection update.",2015,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2016/03/assessments-of-california-oregon-and-washington-stocks-of-black-rockfish-sebastes-melanops-in-2015-published-03-31-2016.pdf/"",""2015 Black Rockfish Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2007/09/g-groundfish-management-september-2007.pdf/#page=1515"",""SSC Report on the 2015 Black Rockfish Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-attachment-15.pdf/"",""2019 Catch-Only Projection Update for Black Rockfish"")"
2023,"Bocaccio","S of 4010","1 (Year Based)",.45,.083,2009,1842,1842,"Non-Overfished","OFL projected using a 50% SPR from the 2019 updated harvest specification projections based on new sigmas with a 7.4% reduction to subtract the portion of the assessed stock north of 40&deg;10&rsquo; N. lat.&nbsp; ACL = ABC (P* = 0.45).<br />
&nbsp;",2017,"Update","He",,"=HYPERLINK(""https://www.pcouncil.org/documents/2017/02/stock-assessment-update-status-of-bocaccio-sebastes-paucispinis-in-the-conception-monterey-and-eureka-inpfc-areas-for-2017.pdf/"",""2017 Bocaccio Update Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2017/06/f4a_sup_ssc_rpt_assessents_final_jun2017bb-1.pdf/"",""SSC Recommendations on the 2017 Bocaccio Update Assessment"")","","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-8-supplemental-attachment-2.pdf/"",""2019 Updated Harvest Specification Projections for Bocaccio (Table 5) Based on New Sigmas"")"
2023,"Cabezon","CA","1 (Year Based)",.45,.074,197,182,182,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.<br />
&nbsp;",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Cabezon","3427 - 42","1 (Year Based)",.45,.074,175,162.05,,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
2023,"    Cabezon","S of 3427","1 (Year Based)",.45,.074,21.7,20.0942,,"Non-Overfished","OFL projected using a 45% SPR from the 2019 assessment.",2019,"Full","Cope",,"=HYPERLINK(""https://www.pcouncil.org/documents/2019/10/assessing-cabezon-scorpaenichthys-marmoratus-stocks-in-waters-off-of-california-and-oregon-with-catch-limit-estimation-for-washington-state-10-18-2019.pdf/"",""2019 Cabezon Assessment"")","=HYPERLINK(""https://www.pcouncil.org/documents/2019/09/agenda-item-h-5-a-supplemental-ssc-report-1-2.pdf/"",""SSC Report on the 2019 Cabezon Assessment"")","",""
