"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016","NEFSC","ASAP","USA","US East Coast","Gulf of Maine / Georges Bank","Sebastidae","Sebastes fasciatus","Acadian redfish"
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1975-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Pleuronectes quadrituberculatus","Alaska plaice"
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Arhynchobatidae","Bathyraja parmifera","Alaska skate"
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","NEFSC-AMPL5YZ-1980-2014-SISIMP2016","NEFSC","VPA","USA","US East Coast","Gulf of Maine / Georges Bank","Pleuronectidae","Hippoglossoides platessoides","American plaice"
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","AFSC-ARFLOUNDGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016","NWFSC","SS2","USA","US West Coast","Pacific Coast","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder"
"ATHAL5YZ","Atlantic halibut Gulf of Maine / Georges Bank","NEFSC-ATHAL5YZ-1800-2007-COL","NEFSC","Unknown","USA","US East Coast","Gulf of Maine / Georges Bank","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut"
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","AFSC-ATKABSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel"
"ATKAGA","Atka mackerel Gulf of Alaska","AFSC-ATKAGA-1977-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel"
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","ASMFC","AD-CAM","USA","US East Coast","Mid-Atlantic Coast","Sciaenidae","Micropogonias undulatus","Atlantic croaker"
"AUROCKPCOAST","Aurora rockfish Pacific Coast","NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes aurora","Aurora rockfish"
"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","NEFSC-AWOLF5YZ-1968-2014-SISIMP2016","NEFSC","SCALE","USA","US East Coast","Gulf of Maine / Georges Bank","Anarhichadidae","Anarhichas lupus","Atlantic wolffish"
"BCRABCHESB","Blue crab Chesapeake Bay","CBP-BCRABCHESB-1990-2010-HIVELY","CBP","SSCMSA","USA","US East Coast","Chesapeake Bay","Portunidae","Callinectes sapidus","Blue crab"
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes melanostomus","Blackgill rockfish"
"BHEADSHARATL","Bonnethead shark Atlantic","SEFSC-BHEADSHARATL-1950-2011-HIVELY","SEFSC","ASPM","USA","US Southeast and Gulf","Atlantic","Sphyrnidae","Sphyrna tiburo","Bonnethead shark"
"BKINGCRABPI","Blue king crab Pribilof Islands","AFSC-BKINGCRABPI-1960-2008-JENSEN","AFSC","Survey indices","USA","US Alaska","Pribilof Islands","Lithodidae","Paralithodes platypus","Blue king crab"
"BKINGCRABSMI","Blue king crab Saint Matthews Island","AFSC-BKINGCRABSMI-1960-2008-JENSEN","AFSC","Survey indices","USA","US Alaska","Saint Matthews Island","Lithodidae","Paralithodes platypus","Blue king crab"
"BLACKGROUPERGMSATL","Black grouper Gulf of Mexico and South Atlantic","SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON","SEFSC","ASAP","USA","US Southeast and Gulf","Gulf of Mexico and South Atlantic","Serranidae","Mycteroperca bonaci","Black grouper"
"BLACKROCKCAL","Black rockfish California","SWFSC-BLACKROCKCAL-1916-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","California","Sebastidae","Sebastes melanops","Black rockfish"
