"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"BLACKROCKORECOAST","Black rockfish Oregon Coast","NWFSC-BLACKROCKORECOAST-1892-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Oregon Coast","Sebastidae","Sebastes melanops","Black rockfish"
"BLACKROCKWASH","Black rockfish Washington","NWFSC-BLACKROCKWASH-1940-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Washington","Sebastidae","Sebastes melanops","Black rockfish"
"BLTILESATLC","Blueline tilefish Southern Atlantic coast","SEFSC-BLTILESATLC-1974-2011-SISIMP2016","SEFSC","BAM","USA","US Southeast and Gulf","Southern Atlantic coast","Malacanthidae","Caulolatilus microps","Blueline tilefish"
"BLUEFISHATLC","Bluefish Atlantic Coast","NEFSC-BLUEFISHATLC-1985-2014-SISIMP2016","NEFSC","ASAP","USA","US East Coast","Atlantic Coast","Pomatomidae","Pomatomus saltatrix","Bluefish"
"BLUEROCKCAL","Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","NWFSC","SS2","USA","US West Coast","California","Sebastidae","Sebastes mystinus","Blue rockfish"
"BNKROCKCAL","Bank rockfish California","PFMC-BNKROCKCAL-1979-1999-CHING","PFMC","SS1","USA","US West Coast","California","Sebastidae","Sebastes rufus","Bank rockfish"
"BNOSESHARATL","Blacknose shark Atlantic","SEFSC-BNOSESHARATL-1950-2009-SISIMP2016","SEFSC","Unknown","USA","US Southeast and Gulf","Atlantic","Carcharhinidae","Carcharhinus acronotus","Blacknose shark"
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","SWFSC-BOCACCSPCOAST-1935-2013-SISIMP2016","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes paucispinis","Bocaccio"
"BRNROCKPCOAST","Brown rockfish Pacific Coast","SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016","SWFSC","XDB-SRA","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes auriculatus","Brown rockfish"
"BRNSHRIMPGM","Brown shrimp Gulf of Mexico","SEFSC-BRNSHRIMPGM-1984-2014-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Penaeidae","Farfantepenaeus aztecus","Brown shrimp"
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","NEFSC-BSBASSMATLC-1939-2015-ASHBROOK","NEFSC","SCA","USA","US East Coast","Mid-Atlantic Coast","Serranidae","Centropristis striata","Black sea bass"
"BSBASSSATL","Black sea bass South Atlantic","SEFSC-BSBASSSATL-1978-2012-SISIMP2016","SEFSC","BAM","USA","US Southeast and Gulf","South Atlantic","Serranidae","Centropristis striata","Black sea bass"
"BSKAT5YZSNE","Barndoor skate Gulf of Maine / Georges Bank-Southern New England","NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","NEFSC","Survey indices","USA","US East Coast","Gulf of Maine / Georges Bank-Southern New England","Rajidae","Dipturus laevis","Barndoor skate"
"BTIPSHARATL","Blacktip shark Atlantic","SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","SEFSC","SPASM","USA","US Southeast and Gulf","Atlantic","Carcharhinidae","Carcharhinus limbatus","Blacktip shark"
"BTIPSHARGM","Blacktip shark Gulf of Mexico","SEFSC-BTIPSHARGM-1981-2010-HIVELY","SEFSC","SPASM","USA","US Southeast and Gulf","Gulf of Mexico","Carcharhinidae","Carcharhinus limbatus","Blacktip shark"
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY","NEFSC","ASAP","USA","US East Coast","Gulf of Maine / Cape Hatteras","Stromateidae","Peprilus triacanthus","Atlantic butterfish"
"CABEZNCAL","Cabezon Northern California","PFMC-CABEZNCAL-1930-2009-CHING","PFMC","SS3","USA","US West Coast","Northern California","Cottidae","Scorpaenichthys marmoratus","Cabezon"
"CABEZORECOAST","Cabezon Oregon Coast","NWFSC-CABEZORECOAST-1973-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Oregon Coast","Cottidae","Scorpaenichthys marmoratus","Cabezon"
"CABEZSCAL","Cabezon Southern California","PFMC-CABEZSCAL-1930-2009-CHING","PFMC","SS3","USA","US West Coast","Southern California","Cottidae","Scorpaenichthys marmoratus","Cabezon"
"CALSCORPSCAL","California scorpionfish Southern California","SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016","SWFSC","SS2","USA","US West Coast","Southern California","Scorpaenidae","Scorpaena guttata","California scorpionfish"
"CHILISPCOAST","Chilipepper Southern Pacific Coast","SWFSC-CHILISPCOAST-1892-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes goodei","Chilipepper"
"CHROCKCPCOAST","China rockfish Central Pacific Coast","NWFSC-CHROCKCPCOAST-1900-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Central Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish"
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","SWFSC-CHROCKNPCOAST-1900-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish"
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","NWFSC-CHROCKSPCOAST-1900-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish"
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","SWFSC-CMACKPCOAST-1983-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Pacific Coast","Scombridae","Scomber japonicus","Pacific chub mackerel"
"COBGM","Cobia Gulf of Mexico","SEFSC-COBGM-1927-2011-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Rachycentridae","Rachycentron canadum","Cobia"
"COBSATLC","Cobia Southern Atlantic coast","SEFSC-COBSATLC-1950-2011-SISIMP2016","SEFSC","BAM","USA","US Southeast and Gulf","Southern Atlantic coast","Rachycentridae","Rachycentron canadum","Cobia"
"CODGB","Atlantic cod Georges Bank","NEFSC-CODGB-1976-2011-CHING","NEFSC","ASAP","USA","US East Coast","Georges Bank","Gadidae","Gadus morhua","Atlantic cod"
"CODGOM","Atlantic cod Gulf of Maine","NEFSC-CODGOM-2006-2014-ASHBROOK","NEFSC","ASAP","USA","US East Coast","Gulf of Maine","Gadidae","Gadus morhua","Atlantic cod"
"COWCODSCAL","Cowcod Southern California","PFMC-COWCODSCAL-1900-2015-HIVELY","PFMC","XDB-SRA","USA","US West Coast","Southern California","Sebastidae","Sebastes levis","Cowcod"
"CPRROCKPCOAST","Copper rockfish Pacific Coast","SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016","SWFSC","XDB-SRA","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes caurinus","Copper rockfish"
"CROCKPCOAST","Canary rockfish Pacific Coast","NWFSC-CROCKPCOAST-1892-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes pinniger","Canary rockfish"
"CSALMAKPSESCD","Chum salmon AK Pen Southeastern and South-central Districts","ADFG-CSALMAKPSESCD-1962-2005-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","AK Pen Southeastern and South-central Districts","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMAKPSWUD","Chum salmon AK Pen Southwestern and Unimak Districts","ADFG-CSALMAKPSWUD-1962-2005-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","AK Pen Southwestern and Unimak Districts","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMANDREAR","Chum salmon Andreafsky River","ADFG-CSALMANDREAR-1972-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Andreafsky River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMANVIKR","Chum salmon Anvik River","ADFG-CSALMANVIKR-1972-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Anvik River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMBEARR","Chum salmon Bear River","ADFG-CSALMBEARR-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Bear River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMBECHSNWD","Chum salmon Bechevin, Swanson (Northwestern District)","ADFG-CSALMBECHSNWD-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Bechevin, Swanson (Northwestern District)","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMBLKAMR","Chum salmon Big and Little Kamishak Rivers","ADFG-CSALMBLKAMR-1973-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Big and Little Kamishak Rivers","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMBRUINR","Chum salmon Bruin River","ADFG-CSALMBRUINR-1971-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Bruin River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCARIBOUF","Chum salmon CaribouFlats","ADFG-CSALMCARIBOUF-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","CaribouFlats","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCHIDWD","Chum salmon Chignik Western District","ADFG-CSALMCHIDWD-1962-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Western District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCHIGCD","Chum salmon Chignik Central District","ADFG-CSALMCHIGCD-1962-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Central District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCHIGED","Chum salmon Chignik Eastern District","ADFG-CSALMCHIGED-1962-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Chignik Eastern District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCINDERR","Chum salmon Cinder River","ADFG-CSALMCINDERR-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Cinder River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCOLR","Chum salmon Columbia R","WDFW-CSALMCOLR-1950-2000-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Columbia R","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMCWCIR","Chum salmon Cottonwood Creek and Iniskin River","ADFG-CSALMCWCIR-1968-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Cottonwood Creek and Iniskin River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMDFL","Chum salmon Dogfish Lagoon","ADFG-CSALMDFL-1964-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Dogfish Lagoon","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMEALSEKR","Chum salmon East Alsek River","ADFG-CSALMEALSEKR-1960-1991-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","East Alsek River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMFISHC","Chum salmon Fish Creek","ADFG-CSALMFISHC-1971-2002-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Fish Creek","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMGOLOVIN","Chum salmon Golovin","ADFG-CSALMGOLOVIN-1962-2005-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Golovin","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMGOODNEWSR","Chum salmon Goodnews River","ADFG-CSALMGOODNEWSR-1969-2002-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Goodnews River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMGRAYH","Chum salmon Grays Harbour","WDFW-CSALMGRAYH-1969-2000-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Grays Harbour","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMHOODC","Chum salmon Hood Canal","WDFW-CSALMHOODC-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Hood Canal","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMIZEMBEKMNWD","Chum salmon Izembek, Moffet (Northwestern District)","ADFG-CSALMIZEMBEKMNWD-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Izembek, Moffet (Northwestern District)","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMJDFS","Chum salmon Juan de Fuca Straits","WDFW-CSALMJDFS-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Juan de Fuca Straits","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMKADASHANC","Chum salmon Kadashan Creek","ADFG-CSALMKADASHANC-1969-1988-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kadashan Creek","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMKANEKTOKR","Chum salmon Kanektok River","ADFG-CSALMKANEKTOKR-1961-2002-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kanektok River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMKOTZEBUES","Chum salmon Kotzebue Sound","ADFG-CSALMKOTZEBUES-1962-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kotzebue Sound","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMKTRNS","Chum salmon Kwiniuk and Tubutulik Rivers (Norton Sound)","ADFG-CSALMKTRNS-1962-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kwiniuk and Tubutulik Rivers (Norton Sound)","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMKUSKOKWIM","Chum salmon Kuskokwim","ADFG-CSALMKUSKOKWIM-1961-2005-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Kuskokwim","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMMNRSD","Chum salmon McNeil River (and Sub-District)","ADFG-CSALMMNRSD-1973-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","McNeil River (and Sub-District)","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMNELSONL","Chum salmon NelsonLagoon","ADFG-CSALMNELSONL-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","NelsonLagoon","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMNORTONB","Chum salmon Norton Bay","ADFG-CSALMNORTONB-1962-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Norton Bay","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMNORTONSD1","Chum salmon Norton Sound District 1","ADFG-CSALMNORTONSD1-1964-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Norton Sound District 1","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMNSR","Chum salmon Nooksack and Samish Rivers","WDFW-CSALMNSR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Nooksack and Samish Rivers","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMNUSHAGAKD","Chum salmon Nushagak District","ADFG-CSALMNUSHAGAKD-1968-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Nushagak District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMPDIC","Chum salmon Port Dick and Island Creek","ADFG-CSALMPDIC-1964-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Port Dick and Island Creek","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMPERRYVILLED","Chum salmon Perryville District","ADFG-CSALMPERRYVILLED-1962-1996-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Perryville District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMPGRAHAM","Chum salmon Port Graham","ADFG-CSALMPGRAHAM-1964-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Port Graham","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMPHEIDEN","Chum salmon PortHeiden","ADFG-CSALMPHEIDEN-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","PortHeiden","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMPMOLLERBT","Chum salmon PMollerBt","ADFG-CSALMPMOLLERBT-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","PMollerBt","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMROCKYR","Chum salmon Rocky River","ADFG-CSALMROCKYR-1964-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Rocky River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSHAKTOOLIK","Chum salmon Shaktoolik","ADFG-CSALMSHAKTOOLIK-1961-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Shaktoolik","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSKAGR","Chum salmon Skagit River","WDFW-CSALMSKAGR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Skagit River","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSSOUNDFR","Chum salmon South Sound Fall Run","WDFW-CSALMSSOUNDFR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","South Sound Fall Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSSOUNDSR","Chum salmon South Sound Summer Run","WDFW-CSALMSSOUNDSR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","South Sound Summer Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSSOUNDWR","Chum salmon South Sound Winter Run","WDFW-CSALMSSOUNDWR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","South Sound Winter Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMSSR","Chum salmon Stillaguamish and Snohomish Rivers","WDFW-CSALMSSR-1965-1998-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Stillaguamish and Snohomish Rivers","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMTHREEH","Chum salmon ThreeHills","ADFG-CSALMTHREEH-1962-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","ThreeHills","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMTOGD","Chum salmon Togiak District","ADFG-CSALMTOGD-1975-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Togiak District","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMUCOOKI","Chum salmon Upper Cook Inlet","ADFG-CSALMUCOOKI-1956-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Upper Cook Inlet","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMUNALAKLEET","Chum salmon Unalakleet","ADFG-CSALMUNALAKLEET-1961-2004-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Unalakleet","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMURSUSCL","Chum salmon Ursus Cove and Lagoon","ADFG-CSALMURSUSCL-1972-1998-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Ursus Cove and Lagoon","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMWILLB","Chum salmon Willapa Bay","WDFW-CSALMWILLB-1968-2000-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Willapa Bay","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMYUKONRFR","Chum salmon Yukon River Fall Run","ADFG-CSALMYUKONRFR-1961-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Yukon River Fall Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMYUKONRSR","Chum salmon Yukon River Summer Run","ADFG-CSALMYUKONRSR-1961-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Yukon River Summer Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSKATMATLC","Clearnose skate Mid-Atlantic Coast","NEFSC-CSKATMATLC-1975-2005-SOSEBEE","NEFSC","Survey indices","USA","US East Coast","Mid-Atlantic Coast","Rajidae","Raja eglanteria","Clearnose skate"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","NWFSC-DKROCKPCOAST-1915-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes crameri","Darkblotched rockfish"
"DSKSHARGMATL","Dusky shark Gulf of Mexico and Atlantic","SEFSC-DSKSHARGMATL-1960-2009-SISIMP2016","SEFSC","Unknown","USA","US Southeast and Gulf","Gulf of Mexico and Atlantic","Carcharhinidae","Carcharhinus obscurus","Dusky shark"
"DSOLEGA","Dover sole Gulf of Alaska","AFSC-DSOLEGA-1978-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Microstomus pacificus","Dover sole"
"DSOLEPCOAST","Dover sole Pacific Coast","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","SWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Microstomus pacificus","Dover sole"
"DUSROCKGA","Dusky rockfish Gulf of Alaska","AFSC-DUSROCKGA-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes variabilis","Dusky rockfish"
"ESOLEPCOAST","English sole Pacific Coast","NWFSC-ESOLEPCOAST-1876-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Parophrys vetulus","English sole"
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","AFSC-FLSOLEBSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Hippoglossoides elassodon","Flathead sole"
"FLSOLEGA","Flathead sole Gulf of Alaska","AFSC-FLSOLEGA-1978-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Hippoglossoides elassodon","Flathead sole"
"FTOOTHSHARATL","Finetooth shark Atlantic","SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET","SEFSC","BBM","USA","US Southeast and Gulf","Atlantic","Carcharhinidae","Carcharhinus isodon","Finetooth shark"
"GAGGM","Gag Gulf of Mexico","SEFSC-GAGGM-1963-2012-HIVELY","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Serranidae","Mycteroperca microlepis","Gag"
