"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NPFMC","Groundfish",0.54,1.08,"OFL",0.105360515657826,0.1,0.054
"NPFMC","Groundfish",0.55,1.1,"OFL",0.105360515657826,0.1,0.055
"NPFMC","Groundfish",0.56,1.12,"OFL",0.105360515657826,0.1,0.056
"NPFMC","Groundfish",0.57,1.14,"OFL",0.105360515657826,0.1,0.057
"NPFMC","Groundfish",0.58,1.16,"OFL",0.105360515657826,0.1,0.058
"NPFMC","Groundfish",0.59,1.18,"OFL",0.105360515657826,0.1,0.059
"NPFMC","Groundfish",0.6,1.2,"OFL",0.105360515657826,0.1,0.06
"NPFMC","Groundfish",0.61,1.22,"OFL",0.105360515657826,0.1,0.061
"NPFMC","Groundfish",0.62,1.24,"OFL",0.105360515657826,0.1,0.062
"NPFMC","Groundfish",0.63,1.26,"OFL",0.105360515657826,0.1,0.063
"NPFMC","Groundfish",0.64,1.28,"OFL",0.105360515657826,0.1,0.064
"NPFMC","Groundfish",0.65,1.3,"OFL",0.105360515657826,0.1,0.065
"NPFMC","Groundfish",0.66,1.32,"OFL",0.105360515657826,0.1,0.066
"NPFMC","Groundfish",0.67,1.34,"OFL",0.105360515657826,0.1,0.067
"NPFMC","Groundfish",0.68,1.36,"OFL",0.105360515657826,0.1,0.068
"NPFMC","Groundfish",0.69,1.38,"OFL",0.105360515657826,0.1,0.069
"NPFMC","Groundfish",0.7,1.4,"OFL",0.105360515657826,0.1,0.07
"NPFMC","Groundfish",0.71,1.42,"OFL",0.105360515657826,0.1,0.071
"NPFMC","Groundfish",0.72,1.44,"OFL",0.105360515657826,0.1,0.072
"NPFMC","Groundfish",0.73,1.46,"OFL",0.105360515657826,0.1,0.073
"NPFMC","Groundfish",0.74,1.48,"OFL",0.105360515657826,0.1,0.074
"NPFMC","Groundfish",0.75,1.5,"OFL",0.105360515657826,0.1,0.075
"NPFMC","Groundfish",0.76,1.52,"OFL",0.105360515657826,0.1,0.076
"NPFMC","Groundfish",0.77,1.54,"OFL",0.105360515657826,0.1,0.077
"NPFMC","Groundfish",0.78,1.56,"OFL",0.105360515657826,0.1,0.078
"NPFMC","Groundfish",0.79,1.58,"OFL",0.105360515657826,0.1,0.079
"NPFMC","Groundfish",0.8,1.6,"OFL",0.105360515657826,0.1,0.08
"NPFMC","Groundfish",0.81,1.62,"OFL",0.105360515657826,0.1,0.081
"NPFMC","Groundfish",0.82,1.64,"OFL",0.105360515657826,0.1,0.082
"NPFMC","Groundfish",0.83,1.66,"OFL",0.105360515657826,0.1,0.083
"NPFMC","Groundfish",0.84,1.68,"OFL",0.105360515657826,0.1,0.084
"NPFMC","Groundfish",0.85,1.7,"OFL",0.105360515657826,0.1,0.085
"NPFMC","Groundfish",0.86,1.72,"OFL",0.105360515657826,0.1,0.086
"NPFMC","Groundfish",0.87,1.74,"OFL",0.105360515657826,0.1,0.087
"NPFMC","Groundfish",0.88,1.76,"OFL",0.105360515657826,0.1,0.088
"NPFMC","Groundfish",0.89,1.78,"OFL",0.105360515657826,0.1,0.089
"NPFMC","Groundfish",0.9,1.8,"OFL",0.105360515657826,0.1,0.09
"NPFMC","Groundfish",0.91,1.82,"OFL",0.105360515657826,0.1,0.091
"NPFMC","Groundfish",0.92,1.84,"OFL",0.105360515657826,0.1,0.092
"NPFMC","Groundfish",0.93,1.86,"OFL",0.105360515657826,0.1,0.093
"NPFMC","Groundfish",0.94,1.88,"OFL",0.105360515657826,0.1,0.094
"NPFMC","Groundfish",0.95,1.9,"OFL",0.105360515657826,0.1,0.095
"NPFMC","Groundfish",0.96,1.92,"OFL",0.105360515657826,0.1,0.096
"NPFMC","Groundfish",0.97,1.94,"OFL",0.105360515657826,0.1,0.097
"NPFMC","Groundfish",0.98,1.96,"OFL",0.105360515657826,0.1,0.098
"NPFMC","Groundfish",0.99,1.98,"OFL",0.105360515657826,0.1,0.099
"NPFMC","Groundfish",1,2,"OFL",0.105360515657826,0.1,0.1
"NPFMC","Groundfish",0,0,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.01,0.02,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.02,0.04,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.03,0.06,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.04,0.08,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.05,0.1,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.06,0.12,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.07,0.14,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.08,0.16,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.09,0.18,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.1,0.2,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.11,0.22,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.12,0.24,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.13,0.26,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.14,0.28,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.15,0.3,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.16,0.32,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.17,0.34,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.18,0.36,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.19,0.38,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.2,0.4,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.21,0.42,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.22,0.44,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.23,0.46,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.24,0.48,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.25,0.5,"ABC/ACL",0,0,0
"NPFMC","Groundfish",0.26,0.52,"ABC/ACL",0.0469131559192216,0.0458297419686855,0.0119157329118582
"NPFMC","Groundfish",0.27,0.54,"ABC/ACL",0.0489094604264225,0.0477326563252143,0.0128878172078079
"NPFMC","Groundfish",0.28,0.56,"ABC/ACL",0.0509057649336234,0.0496317756744916,0.0138968971888577
"NPFMC","Groundfish",0.29,0.58,"ABC/ACL",0.0529020694408243,0.0515271075849507,0.0149428611996357
