"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NEFMC","Atlantic herring",0,0,"MSY",0.105360515657826,0.1,0
"NEFMC","Atlantic herring",0.01,0.02,"MSY",0.105360515657826,0.1,0.001
"NEFMC","Atlantic herring",0.02,0.04,"MSY",0.105360515657826,0.1,0.002
"NEFMC","Atlantic herring",0.03,0.06,"MSY",0.105360515657826,0.1,0.003
"NEFMC","Atlantic herring",0.04,0.08,"MSY",0.105360515657826,0.1,0.004
"NEFMC","Atlantic herring",0.05,0.1,"MSY",0.105360515657826,0.1,0.005
"NEFMC","Atlantic herring",0.06,0.12,"MSY",0.105360515657826,0.1,0.006
"NEFMC","Atlantic herring",0.07,0.14,"MSY",0.105360515657826,0.1,0.007
"NEFMC","Atlantic herring",0.08,0.16,"MSY",0.105360515657826,0.1,0.008
"NEFMC","Atlantic herring",0.09,0.18,"MSY",0.105360515657826,0.1,0.009
"NEFMC","Atlantic herring",0.1,0.2,"MSY",0.105360515657826,0.1,0.01
"NEFMC","Atlantic herring",0.11,0.22,"MSY",0.105360515657826,0.1,0.011
"NEFMC","Atlantic herring",0.12,0.24,"MSY",0.105360515657826,0.1,0.012
"NEFMC","Atlantic herring",0.13,0.26,"MSY",0.105360515657826,0.1,0.013
"NEFMC","Atlantic herring",0.14,0.28,"MSY",0.105360515657826,0.1,0.014
"NEFMC","Atlantic herring",0.15,0.3,"MSY",0.105360515657826,0.1,0.015
"NEFMC","Atlantic herring",0.16,0.32,"MSY",0.105360515657826,0.1,0.016
"NEFMC","Atlantic herring",0.17,0.34,"MSY",0.105360515657826,0.1,0.017
"NEFMC","Atlantic herring",0.18,0.36,"MSY",0.105360515657826,0.1,0.018
"NEFMC","Atlantic herring",0.19,0.38,"MSY",0.105360515657826,0.1,0.019
"NEFMC","Atlantic herring",0.2,0.4,"MSY",0.105360515657826,0.1,0.02
"NEFMC","Atlantic herring",0.21,0.42,"MSY",0.105360515657826,0.1,0.021
"NEFMC","Atlantic herring",0.22,0.44,"MSY",0.105360515657826,0.1,0.022
"NEFMC","Atlantic herring",0.23,0.46,"MSY",0.105360515657826,0.1,0.023
"NEFMC","Atlantic herring",0.24,0.48,"MSY",0.105360515657826,0.1,0.024
"NEFMC","Atlantic herring",0.25,0.5,"MSY",0.105360515657826,0.1,0.025
"NEFMC","Atlantic herring",0.26,0.52,"MSY",0.105360515657826,0.1,0.026
"NEFMC","Atlantic herring",0.27,0.54,"MSY",0.105360515657826,0.1,0.027
"NEFMC","Atlantic herring",0.28,0.56,"MSY",0.105360515657826,0.1,0.028
"NEFMC","Atlantic herring",0.29,0.58,"MSY",0.105360515657826,0.1,0.029
"NEFMC","Atlantic herring",0.3,0.6,"MSY",0.105360515657826,0.1,0.03
"NEFMC","Atlantic herring",0.31,0.62,"MSY",0.105360515657826,0.1,0.031
"NEFMC","Atlantic herring",0.32,0.64,"MSY",0.105360515657826,0.1,0.032
"NEFMC","Atlantic herring",0.33,0.66,"MSY",0.105360515657826,0.1,0.033
"NEFMC","Atlantic herring",0.34,0.68,"MSY",0.105360515657826,0.1,0.034
"NEFMC","Atlantic herring",0.35,0.7,"MSY",0.105360515657826,0.1,0.035
"NEFMC","Atlantic herring",0.36,0.72,"MSY",0.105360515657826,0.1,0.036
"NEFMC","Atlantic herring",0.37,0.74,"MSY",0.105360515657826,0.1,0.037
"NEFMC","Atlantic herring",0.38,0.76,"MSY",0.105360515657826,0.1,0.038
"NEFMC","Atlantic herring",0.39,0.78,"MSY",0.105360515657826,0.1,0.039
"NEFMC","Atlantic herring",0.4,0.8,"MSY",0.105360515657826,0.1,0.04
"NEFMC","Atlantic herring",0.41,0.82,"MSY",0.105360515657826,0.1,0.041
"NEFMC","Atlantic herring",0.42,0.84,"MSY",0.105360515657826,0.1,0.042
"NEFMC","Atlantic herring",0.43,0.86,"MSY",0.105360515657826,0.1,0.043
"NEFMC","Atlantic herring",0.44,0.88,"MSY",0.105360515657826,0.1,0.044
"NEFMC","Atlantic herring",0.45,0.9,"MSY",0.105360515657826,0.1,0.045
"NEFMC","Atlantic herring",0.46,0.92,"MSY",0.105360515657826,0.1,0.046
"NEFMC","Atlantic herring",0.47,0.94,"MSY",0.105360515657826,0.1,0.047
"NEFMC","Atlantic herring",0.48,0.96,"MSY",0.105360515657826,0.1,0.048
"NEFMC","Atlantic herring",0.49,0.98,"MSY",0.105360515657826,0.1,0.049
"NEFMC","Atlantic herring",0.5,1,"MSY",0.105360515657826,0.1,0.05
"NEFMC","Atlantic herring",0.51,1.02,"MSY",0.105360515657826,0.1,0.051
"NEFMC","Atlantic herring",0.52,1.04,"MSY",0.105360515657826,0.1,0.052
"NEFMC","Atlantic herring",0.53,1.06,"MSY",0.105360515657826,0.1,0.053
"NEFMC","Atlantic herring",0.54,1.08,"MSY",0.105360515657826,0.1,0.054
"NEFMC","Atlantic herring",0.55,1.1,"MSY",0.105360515657826,0.1,0.055
"NEFMC","Atlantic herring",0.56,1.12,"MSY",0.105360515657826,0.1,0.056
"NEFMC","Atlantic herring",0.57,1.14,"MSY",0.105360515657826,0.1,0.057
"NEFMC","Atlantic herring",0.58,1.16,"MSY",0.105360515657826,0.1,0.058
"NEFMC","Atlantic herring",0.59,1.18,"MSY",0.105360515657826,0.1,0.059
"NEFMC","Atlantic herring",0.6,1.2,"MSY",0.105360515657826,0.1,0.06
"NEFMC","Atlantic herring",0.61,1.22,"MSY",0.105360515657826,0.1,0.061
"NEFMC","Atlantic herring",0.62,1.24,"MSY",0.105360515657826,0.1,0.062
"NEFMC","Atlantic herring",0.63,1.26,"MSY",0.105360515657826,0.1,0.063
"NEFMC","Atlantic herring",0.64,1.28,"MSY",0.105360515657826,0.1,0.064
"NEFMC","Atlantic herring",0.65,1.3,"MSY",0.105360515657826,0.1,0.065
"NEFMC","Atlantic herring",0.66,1.32,"MSY",0.105360515657826,0.1,0.066
"NEFMC","Atlantic herring",0.67,1.34,"MSY",0.105360515657826,0.1,0.067
"NEFMC","Atlantic herring",0.68,1.36,"MSY",0.105360515657826,0.1,0.068
"NEFMC","Atlantic herring",0.69,1.38,"MSY",0.105360515657826,0.1,0.069
"NEFMC","Atlantic herring",0.7,1.4,"MSY",0.105360515657826,0.1,0.07
"NEFMC","Atlantic herring",0.71,1.42,"MSY",0.105360515657826,0.1,0.071
"NEFMC","Atlantic herring",0.72,1.44,"MSY",0.105360515657826,0.1,0.072
"NEFMC","Atlantic herring",0.73,1.46,"MSY",0.105360515657826,0.1,0.073
"NEFMC","Atlantic herring",0.74,1.48,"MSY",0.105360515657826,0.1,0.074
"NEFMC","Atlantic herring",0.75,1.5,"MSY",0.105360515657826,0.1,0.075
"NEFMC","Atlantic herring",0.76,1.52,"MSY",0.105360515657826,0.1,0.076
"NEFMC","Atlantic herring",0.77,1.54,"MSY",0.105360515657826,0.1,0.077
"NEFMC","Atlantic herring",0.78,1.56,"MSY",0.105360515657826,0.1,0.078
"NEFMC","Atlantic herring",0.79,1.58,"MSY",0.105360515657826,0.1,0.079
"NEFMC","Atlantic herring",0.8,1.6,"MSY",0.105360515657826,0.1,0.08
"NEFMC","Atlantic herring",0.81,1.62,"MSY",0.105360515657826,0.1,0.081
"NEFMC","Atlantic herring",0.82,1.64,"MSY",0.105360515657826,0.1,0.082
"NEFMC","Atlantic herring",0.83,1.66,"MSY",0.105360515657826,0.1,0.083
"NEFMC","Atlantic herring",0.84,1.68,"MSY",0.105360515657826,0.1,0.084
"NEFMC","Atlantic herring",0.85,1.7,"MSY",0.105360515657826,0.1,0.085
"NEFMC","Atlantic herring",0.86,1.72,"MSY",0.105360515657826,0.1,0.086
"NEFMC","Atlantic herring",0.87,1.74,"MSY",0.105360515657826,0.1,0.087
"NEFMC","Atlantic herring",0.88,1.76,"MSY",0.105360515657826,0.1,0.088
"NEFMC","Atlantic herring",0.89,1.78,"MSY",0.105360515657826,0.1,0.089
