"fmc","fmp","biomass","value","catch","u","f"
"PFMC","HMS",0,"OFL",0,NA,NA
"PFMC","HMS",0.01,"OFL",0.001,0.1,0.105360515657826
"PFMC","HMS",0.02,"OFL",0.002,0.1,0.105360515657826
"PFMC","HMS",0.03,"OFL",0.003,0.1,0.105360515657826
"PFMC","HMS",0.04,"OFL",0.004,0.1,0.105360515657826
"PFMC","HMS",0.05,"OFL",0.005,0.1,0.105360515657826
"PFMC","HMS",0.06,"OFL",0.006,0.1,0.105360515657826
"PFMC","HMS",0.07,"OFL",0.007,0.1,0.105360515657826
"PFMC","HMS",0.08,"OFL",0.008,0.1,0.105360515657826
"PFMC","HMS",0.09,"OFL",0.009,0.1,0.105360515657826
"PFMC","HMS",0.1,"OFL",0.01,0.1,0.105360515657826
"PFMC","HMS",0.11,"OFL",0.011,0.1,0.105360515657826
"PFMC","HMS",0.12,"OFL",0.012,0.1,0.105360515657826
"PFMC","HMS",0.13,"OFL",0.013,0.1,0.105360515657826
"PFMC","HMS",0.14,"OFL",0.014,0.1,0.105360515657826
"PFMC","HMS",0.15,"OFL",0.015,0.1,0.105360515657826
"PFMC","HMS",0.16,"OFL",0.016,0.1,0.105360515657826
"PFMC","HMS",0.17,"OFL",0.017,0.1,0.105360515657826
"PFMC","HMS",0.18,"OFL",0.018,0.1,0.105360515657826
"PFMC","HMS",0.19,"OFL",0.019,0.1,0.105360515657826
"PFMC","HMS",0.2,"OFL",0.02,0.1,0.105360515657826
"PFMC","HMS",0.21,"OFL",0.021,0.1,0.105360515657826
"PFMC","HMS",0.22,"OFL",0.022,0.1,0.105360515657826
"PFMC","HMS",0.23,"OFL",0.023,0.1,0.105360515657826
"PFMC","HMS",0.24,"OFL",0.024,0.1,0.105360515657826
"PFMC","HMS",0.25,"OFL",0.025,0.1,0.105360515657826
"PFMC","HMS",0.26,"OFL",0.026,0.1,0.105360515657826
"PFMC","HMS",0.27,"OFL",0.027,0.1,0.105360515657826
"PFMC","HMS",0.28,"OFL",0.028,0.1,0.105360515657826
"PFMC","HMS",0.29,"OFL",0.029,0.1,0.105360515657826
"PFMC","HMS",0.3,"OFL",0.03,0.1,0.105360515657826
"PFMC","HMS",0.31,"OFL",0.031,0.1,0.105360515657826
