"fmc","fmp","biomass","value","catch","u","f"
"PFMC","Groundfish",0.14,"ABC",0.0126,0.09,0.0943106794712413
"PFMC","Groundfish",0.15,"ABC",0.0135,0.09,0.0943106794712413
"PFMC","Groundfish",0.16,"ABC",0.0144,0.09,0.0943106794712413
"PFMC","Groundfish",0.17,"ABC",0.0153,0.09,0.0943106794712413
"PFMC","Groundfish",0.18,"ABC",0.0162,0.09,0.0943106794712413
"PFMC","Groundfish",0.19,"ABC",0.0171,0.09,0.0943106794712414
"PFMC","Groundfish",0.2,"ABC",0.018,0.09,0.0943106794712414
"PFMC","Groundfish",0.21,"ABC",0.0189,0.09,0.0943106794712413
"PFMC","Groundfish",0.22,"ABC",0.0198,0.09,0.0943106794712413
"PFMC","Groundfish",0.23,"ABC",0.0207,0.09,0.0943106794712413
"PFMC","Groundfish",0.24,"ABC",0.0216,0.09,0.0943106794712413
"PFMC","Groundfish",0.25,"ABC",0.0225,0.09,0.0943106794712413
"PFMC","Groundfish",0.26,"ABC",0.0234,0.09,0.0943106794712413
"PFMC","Groundfish",0.27,"ABC",0.0243,0.09,0.0943106794712413
"PFMC","Groundfish",0.28,"ABC",0.0252,0.09,0.0943106794712413
"PFMC","Groundfish",0.29,"ABC",0.0261,0.09,0.0943106794712413
"PFMC","Groundfish",0.3,"ABC",0.027,0.09,0.0943106794712413
"PFMC","Groundfish",0.31,"ABC",0.0279,0.09,0.0943106794712413
"PFMC","Groundfish",0.32,"ABC",0.0288,0.09,0.0943106794712413
"PFMC","Groundfish",0.33,"ABC",0.0297,0.09,0.0943106794712413
"PFMC","Groundfish",0.34,"ABC",0.0306,0.09,0.0943106794712413
"PFMC","Groundfish",0.35,"ABC",0.0315,0.09,0.0943106794712413
"PFMC","Groundfish",0.36,"ABC",0.0324,0.09,0.0943106794712413
"PFMC","Groundfish",0.37,"ABC",0.0333,0.09,0.0943106794712413
"PFMC","Groundfish",0.38,"ABC",0.0342,0.09,0.0943106794712414
"PFMC","Groundfish",0.39,"ABC",0.0351,0.09,0.0943106794712413
"PFMC","Groundfish",0.4,"ABC",0.036,0.09,0.0943106794712414
"PFMC","Groundfish",0.41,"ABC",0.0369,0.09,0.0943106794712413
"PFMC","Groundfish",0.42,"ABC",0.0378,0.09,0.0943106794712413
"PFMC","Groundfish",0.43,"ABC",0.0387,0.09,0.0943106794712413
"PFMC","Groundfish",0.44,"ABC",0.0396,0.09,0.0943106794712413
"PFMC","Groundfish",0.45,"ABC",0.0405,0.09,0.0943106794712413
"PFMC","Groundfish",0.46,"ABC",0.0414,0.09,0.0943106794712413
"PFMC","Groundfish",0.47,"ABC",0.0423,0.09,0.0943106794712413
"PFMC","Groundfish",0.48,"ABC",0.0432,0.09,0.0943106794712413
"PFMC","Groundfish",0.49,"ABC",0.0441,0.09,0.0943106794712413
"PFMC","Groundfish",0.5,"ABC",0.045,0.09,0.0943106794712413
"PFMC","Groundfish",0.51,"ABC",0.0459,0.09,0.0943106794712413
"PFMC","Groundfish",0.52,"ABC",0.0468,0.09,0.0943106794712413
"PFMC","Groundfish",0.53,"ABC",0.0477,0.09,0.0943106794712413
"PFMC","Groundfish",0.54,"ABC",0.0486,0.09,0.0943106794712413
"PFMC","Groundfish",0.55,"ABC",0.0495,0.09,0.0943106794712413
"PFMC","Groundfish",0.56,"ABC",0.0504,0.09,0.0943106794712413
"PFMC","Groundfish",0.57,"ABC",0.0513,0.09,0.0943106794712413
"PFMC","Groundfish",0.58,"ABC",0.0522,0.09,0.0943106794712413
"PFMC","Groundfish",0.59,"ABC",0.0531,0.09,0.0943106794712413
"PFMC","Groundfish",0.6,"ABC",0.054,0.09,0.0943106794712413
"PFMC","Groundfish",0.61,"ABC",0.0549,0.09,0.0943106794712413
"PFMC","Groundfish",0.62,"ABC",0.0558,0.09,0.0943106794712413
"PFMC","Groundfish",0.63,"ABC",0.0567,0.09,0.0943106794712413
"PFMC","Groundfish",0.64,"ABC",0.0576,0.09,0.0943106794712413
"PFMC","Groundfish",0.65,"ABC",0.0585,0.09,0.0943106794712413
"PFMC","Groundfish",0.66,"ABC",0.0594,0.09,0.0943106794712413
"PFMC","Groundfish",0.67,"ABC",0.0603,0.09,0.0943106794712413
"PFMC","Groundfish",0.68,"ABC",0.0612,0.09,0.0943106794712413
"PFMC","Groundfish",0.69,"ABC",0.0621,0.09,0.0943106794712413
"PFMC","Groundfish",0.7,"ABC",0.063,0.09,0.0943106794712413
"PFMC","Groundfish",0.71,"ABC",0.0639,0.09,0.0943106794712413
"PFMC","Groundfish",0.72,"ABC",0.0648,0.09,0.0943106794712413
"PFMC","Groundfish",0.73,"ABC",0.0657,0.09,0.0943106794712413
"PFMC","Groundfish",0.74,"ABC",0.0666,0.09,0.0943106794712413
"PFMC","Groundfish",0.75,"ABC",0.0675,0.09,0.0943106794712414
"PFMC","Groundfish",0.76,"ABC",0.0684,0.09,0.0943106794712414
"PFMC","Groundfish",0.77,"ABC",0.0693,0.09,0.0943106794712413
"PFMC","Groundfish",0.78,"ABC",0.0702,0.09,0.0943106794712413
"PFMC","Groundfish",0.79,"ABC",0.0711,0.09,0.0943106794712413
"PFMC","Groundfish",0.8,"ABC",0.072,0.09,0.0943106794712414
"PFMC","Groundfish",0.81,"ABC",0.0729,0.09,0.0943106794712414
"PFMC","Groundfish",0.82,"ABC",0.0738,0.09,0.0943106794712413
"PFMC","Groundfish",0.83,"ABC",0.0747,0.09,0.0943106794712413
"PFMC","Groundfish",0.84,"ABC",0.0756,0.09,0.0943106794712413
"PFMC","Groundfish",0.85,"ABC",0.0765,0.09,0.0943106794712413
"PFMC","Groundfish",0.86,"ABC",0.0774,0.09,0.0943106794712413
"PFMC","Groundfish",0.87,"ABC",0.0783,0.09,0.0943106794712413
"PFMC","Groundfish",0.88,"ABC",0.0792,0.09,0.0943106794712413
"PFMC","Groundfish",0.89,"ABC",0.0801,0.09,0.0943106794712413
"PFMC","Groundfish",0.9,"ABC",0.081,0.09,0.0943106794712413
"PFMC","Groundfish",0.91,"ABC",0.0819,0.09,0.0943106794712413
"PFMC","Groundfish",0.92,"ABC",0.0828,0.09,0.0943106794712413
"PFMC","Groundfish",0.93,"ABC",0.0837,0.09,0.0943106794712413
"PFMC","Groundfish",0.94,"ABC",0.0846,0.09,0.0943106794712413
"PFMC","Groundfish",0.95,"ABC",0.0855,0.09,0.0943106794712413
"PFMC","Groundfish",0.96,"ABC",0.0864,0.09,0.0943106794712413
"PFMC","Groundfish",0.97,"ABC",0.0873,0.09,0.0943106794712413
"PFMC","Groundfish",0.98,"ABC",0.0882,0.09,0.0943106794712413
"PFMC","Groundfish",0.99,"ABC",0.0891,0.09,0.0943106794712413
"PFMC","Groundfish",1,"ABC",0.09,0.09,0.0943106794712413
"PFMC","Groundfish",0,"ACL",0,NA,NA
"PFMC","Groundfish",0.01,"ACL",0,0,0
"PFMC","Groundfish",0.02,"ACL",0,0,0
"PFMC","Groundfish",0.03,"ACL",0,0,0
"PFMC","Groundfish",0.04,"ACL",0,0,0
"PFMC","Groundfish",0.05,"ACL",0,0,0
"PFMC","Groundfish",0.06,"ACL",0,0,0
"PFMC","Groundfish",0.07,"ACL",0,0,0
"PFMC","Groundfish",0.08,"ACL",0,0,0
"PFMC","Groundfish",0.09,"ACL",0,0,0
"PFMC","Groundfish",0.1,"ACL",0,0,0
"PFMC","Groundfish",0.11,"ACL",0.001125,0.0102272727272727,0.0102799306197494
"PFMC","Groundfish",0.12,"ACL",0.00225,0.01875,0.0189280098855189
"PFMC","Groundfish",0.13,"ACL",0.003375,0.0259615384615385,0.026304487886735
"PFMC","Groundfish",0.14,"ACL",0.0045,0.0321428571428571,0.0326707822895487
"PFMC","Groundfish",0.15,"ACL",0.005625,0.0375,0.0382212128201977
"PFMC","Groundfish",0.16,"ACL",0.00675,0.0421875,0.0431032404175062
"PFMC","Groundfish",0.17,"ACL",0.007875,0.0463235294117647,0.0474307944136538
"PFMC","Groundfish",0.18,"ACL",0.009,0.05,0.0512932943875506
"PFMC","Groundfish",0.19,"ACL",0.010125,0.0532894736842105,0.0547619069529543
"PFMC","Groundfish",0.2,"ACL",0.01125,0.05625,0.0578939784189026
"PFMC","Groundfish",0.21,"ACL",0.012375,0.0589285714285714,0.0607362351878326
"PFMC","Groundfish",0.22,"ACL",0.0135,0.0613636363636364,0.0633271339512741
"PFMC","Groundfish",0.23,"ACL",0.014625,0.0635869565217391,0.0656986140751017
"PFMC","Groundfish",0.24,"ACL",0.01575,0.065625,0.0678774224030858
"PFMC","Groundfish",0.25,"ACL",0.016875,0.0675,0.0698861274641664
"PFMC","Groundfish",0.26,"ACL",0.018,0.0692307692307692,0.0717439048588413
"PFMC","Groundfish",0.27,"ACL",0.019125,0.0708333333333333,0.0734671518818725
"PFMC","Groundfish",0.28,"ACL",0.02025,0.0723214285714286,0.0750699731899128
"PFMC","Groundfish",0.29,"ACL",0.021375,0.0737068965517241,0.0765645680178452
"PFMC","Groundfish",0.3,"ACL",0.0225,0.075,0.0779615414697118
"PFMC","Groundfish",0.31,"ACL",0.023625,0.0762096774193548,0.0792701567055323
"PFMC","Groundfish",0.32,"ACL",0.02475,0.07734375,0.0804985407163006
"PFMC","Groundfish",0.33,"ACL",0.025875,0.0784090909090909,0.0816538533568392
"PFMC","Groundfish",0.34,"ACL",0.027,0.0794117647058824,0.0827424270700539
"PFMC","Groundfish",0.35,"ACL",0.028125,0.0803571428571429,0.0837698830654588
"PFMC","Groundfish",0.36,"ACL",0.02925,0.08125,0.0847412284550907
"PFMC","Groundfish",0.37,"ACL",0.030375,0.0820945945945946,0.0856609378917583
"PFMC","Groundfish",0.38,"ACL",0.0315,0.0828947368421053,0.0865330225198529
"PFMC","Groundfish",0.39,"ACL",0.032625,0.0836538461538461,0.0873610884812163
"PFMC","Groundfish",0.4,"ACL",0.03375,0.084375,0.0881483867767049
"PFMC","Groundfish",0.41,"ACL",0.034875,0.0850609756097561,0.0888978559378223
"PFMC","Groundfish",0.42,"ACL",0.036,0.0857142857142857,0.0896121586896872
"PFMC","Groundfish",0.43,"ACL",0.037125,0.0863372093023256,0.0902937135698764
"PFMC","Groundfish",0.44,"ACL",0.03825,0.0869318181818182,0.0909447222946849
"PFMC","Groundfish",0.45,"ACL",0.039375,0.0875,0.0915671935254905
"PFMC","Groundfish",0.46,"ACL",0.0405,0.0880434782608696,0.0921629635758798
"PFMC","Groundfish",0.47,"ACL",0.041625,0.088563829787234,0.0927337145093313
"PFMC","Groundfish",0.48,"ACL",0.04275,0.0890625,0.0932809900032252
"PFMC","Groundfish",0.49,"ACL",0.043875,0.0895408163265306,0.0938062092943479
"PFMC","Groundfish",0.5,"ACL",0.045,0.09,0.0943106794712413
"PFMC","Groundfish",0.51,"ACL",0.0459,0.09,0.0943106794712413
"PFMC","Groundfish",0.52,"ACL",0.0468,0.09,0.0943106794712413
"PFMC","Groundfish",0.53,"ACL",0.0477,0.09,0.0943106794712413
"PFMC","Groundfish",0.54,"ACL",0.0486,0.09,0.0943106794712413
"PFMC","Groundfish",0.55,"ACL",0.0495,0.09,0.0943106794712413
"PFMC","Groundfish",0.56,"ACL",0.0504,0.09,0.0943106794712413
"PFMC","Groundfish",0.57,"ACL",0.0513,0.09,0.0943106794712413
"PFMC","Groundfish",0.58,"ACL",0.0522,0.09,0.0943106794712413
"PFMC","Groundfish",0.59,"ACL",0.0531,0.09,0.0943106794712413
"PFMC","Groundfish",0.6,"ACL",0.054,0.09,0.0943106794712413
"PFMC","Groundfish",0.61,"ACL",0.0549,0.09,0.0943106794712413
"PFMC","Groundfish",0.62,"ACL",0.0558,0.09,0.0943106794712413
"PFMC","Groundfish",0.63,"ACL",0.0567,0.09,0.0943106794712413
"PFMC","Groundfish",0.64,"ACL",0.0576,0.09,0.0943106794712413
"PFMC","Groundfish",0.65,"ACL",0.0585,0.09,0.0943106794712413
"PFMC","Groundfish",0.66,"ACL",0.0594,0.09,0.0943106794712413
"PFMC","Groundfish",0.67,"ACL",0.0603,0.09,0.0943106794712413
"PFMC","Groundfish",0.68,"ACL",0.0612,0.09,0.0943106794712413
"PFMC","Groundfish",0.69,"ACL",0.0621,0.09,0.0943106794712413
"PFMC","Groundfish",0.7,"ACL",0.063,0.09,0.0943106794712413
"PFMC","Groundfish",0.71,"ACL",0.0639,0.09,0.0943106794712413
"PFMC","Groundfish",0.72,"ACL",0.0648,0.09,0.0943106794712413
"PFMC","Groundfish",0.73,"ACL",0.0657,0.09,0.0943106794712413
"PFMC","Groundfish",0.74,"ACL",0.0666,0.09,0.0943106794712413
"PFMC","Groundfish",0.75,"ACL",0.0675,0.09,0.0943106794712414
"PFMC","Groundfish",0.76,"ACL",0.0684,0.09,0.0943106794712414
"PFMC","Groundfish",0.77,"ACL",0.0693,0.09,0.0943106794712413
"PFMC","Groundfish",0.78,"ACL",0.0702,0.09,0.0943106794712413
"PFMC","Groundfish",0.79,"ACL",0.0711,0.09,0.0943106794712413
"PFMC","Groundfish",0.8,"ACL",0.072,0.09,0.0943106794712414
"PFMC","Groundfish",0.81,"ACL",0.0729,0.09,0.0943106794712414
"PFMC","Groundfish",0.82,"ACL",0.0738,0.09,0.0943106794712413
"PFMC","Groundfish",0.83,"ACL",0.0747,0.09,0.0943106794712413
"PFMC","Groundfish",0.84,"ACL",0.0756,0.09,0.0943106794712413
"PFMC","Groundfish",0.85,"ACL",0.0765,0.09,0.0943106794712413
"PFMC","Groundfish",0.86,"ACL",0.0774,0.09,0.0943106794712413
"PFMC","Groundfish",0.87,"ACL",0.0783,0.09,0.0943106794712413
"PFMC","Groundfish",0.88,"ACL",0.0792,0.09,0.0943106794712413
"PFMC","Groundfish",0.89,"ACL",0.0801,0.09,0.0943106794712413
"PFMC","Groundfish",0.9,"ACL",0.081,0.09,0.0943106794712413
"PFMC","Groundfish",0.91,"ACL",0.0819,0.09,0.0943106794712413
"PFMC","Groundfish",0.92,"ACL",0.0828,0.09,0.0943106794712413
"PFMC","Groundfish",0.93,"ACL",0.0837,0.09,0.0943106794712413
"PFMC","Groundfish",0.94,"ACL",0.0846,0.09,0.0943106794712413
"PFMC","Groundfish",0.95,"ACL",0.0855,0.09,0.0943106794712413
"PFMC","Groundfish",0.96,"ACL",0.0864,0.09,0.0943106794712413
"PFMC","Groundfish",0.97,"ACL",0.0873,0.09,0.0943106794712413
"PFMC","Groundfish",0.98,"ACL",0.0882,0.09,0.0943106794712413
"PFMC","Groundfish",0.99,"ACL",0.0891,0.09,0.0943106794712413
"PFMC","Groundfish",1,"ACL",0.09,0.09,0.0943106794712413
