"fmc","fmp","biomass","value","catch","u","f"
"PFMC","Groundfish",0,"OFL",0,NA,NA
"PFMC","Groundfish",0.01,"OFL",0.001,0.1,0.105360515657826
"PFMC","Groundfish",0.02,"OFL",0.002,0.1,0.105360515657826
"PFMC","Groundfish",0.03,"OFL",0.003,0.1,0.105360515657826
"PFMC","Groundfish",0.04,"OFL",0.004,0.1,0.105360515657826
"PFMC","Groundfish",0.05,"OFL",0.005,0.1,0.105360515657826
"PFMC","Groundfish",0.06,"OFL",0.006,0.1,0.105360515657826
"PFMC","Groundfish",0.07,"OFL",0.007,0.1,0.105360515657826
"PFMC","Groundfish",0.08,"OFL",0.008,0.1,0.105360515657826
"PFMC","Groundfish",0.09,"OFL",0.009,0.1,0.105360515657826
"PFMC","Groundfish",0.1,"OFL",0.01,0.1,0.105360515657826
"PFMC","Groundfish",0.11,"OFL",0.011,0.1,0.105360515657826
"PFMC","Groundfish",0.12,"OFL",0.012,0.1,0.105360515657826
"PFMC","Groundfish",0.13,"OFL",0.013,0.1,0.105360515657826
"PFMC","Groundfish",0.14,"OFL",0.014,0.1,0.105360515657826
"PFMC","Groundfish",0.15,"OFL",0.015,0.1,0.105360515657826
"PFMC","Groundfish",0.16,"OFL",0.016,0.1,0.105360515657826
"PFMC","Groundfish",0.17,"OFL",0.017,0.1,0.105360515657826
"PFMC","Groundfish",0.18,"OFL",0.018,0.1,0.105360515657826
"PFMC","Groundfish",0.19,"OFL",0.019,0.1,0.105360515657826
"PFMC","Groundfish",0.2,"OFL",0.02,0.1,0.105360515657826
"PFMC","Groundfish",0.21,"OFL",0.021,0.1,0.105360515657826
"PFMC","Groundfish",0.22,"OFL",0.022,0.1,0.105360515657826
"PFMC","Groundfish",0.23,"OFL",0.023,0.1,0.105360515657826
"PFMC","Groundfish",0.24,"OFL",0.024,0.1,0.105360515657826
"PFMC","Groundfish",0.25,"OFL",0.025,0.1,0.105360515657826
"PFMC","Groundfish",0.26,"OFL",0.026,0.1,0.105360515657826
"PFMC","Groundfish",0.27,"OFL",0.027,0.1,0.105360515657826
"PFMC","Groundfish",0.28,"OFL",0.028,0.1,0.105360515657826
"PFMC","Groundfish",0.29,"OFL",0.029,0.1,0.105360515657826
"PFMC","Groundfish",0.3,"OFL",0.03,0.1,0.105360515657826
"PFMC","Groundfish",0.31,"OFL",0.031,0.1,0.105360515657826
"PFMC","Groundfish",0.32,"OFL",0.032,0.1,0.105360515657826
"PFMC","Groundfish",0.33,"OFL",0.033,0.1,0.105360515657826
"PFMC","Groundfish",0.34,"OFL",0.034,0.1,0.105360515657826
"PFMC","Groundfish",0.35,"OFL",0.035,0.1,0.105360515657826
"PFMC","Groundfish",0.36,"OFL",0.036,0.1,0.105360515657826
"PFMC","Groundfish",0.37,"OFL",0.037,0.1,0.105360515657826
"PFMC","Groundfish",0.38,"OFL",0.038,0.1,0.105360515657826
"PFMC","Groundfish",0.39,"OFL",0.039,0.1,0.105360515657826
"PFMC","Groundfish",0.4,"OFL",0.04,0.1,0.105360515657826
"PFMC","Groundfish",0.41,"OFL",0.041,0.1,0.105360515657826
"PFMC","Groundfish",0.42,"OFL",0.042,0.1,0.105360515657826
"PFMC","Groundfish",0.43,"OFL",0.043,0.1,0.105360515657826
"PFMC","Groundfish",0.44,"OFL",0.044,0.1,0.105360515657826
"PFMC","Groundfish",0.45,"OFL",0.045,0.1,0.105360515657826
"PFMC","Groundfish",0.46,"OFL",0.046,0.1,0.105360515657826
"PFMC","Groundfish",0.47,"OFL",0.047,0.1,0.105360515657826
"PFMC","Groundfish",0.48,"OFL",0.048,0.1,0.105360515657826
"PFMC","Groundfish",0.49,"OFL",0.049,0.1,0.105360515657826
"PFMC","Groundfish",0.5,"OFL",0.05,0.1,0.105360515657826
"PFMC","Groundfish",0.51,"OFL",0.051,0.1,0.105360515657826
"PFMC","Groundfish",0.52,"OFL",0.052,0.1,0.105360515657826
"PFMC","Groundfish",0.53,"OFL",0.053,0.1,0.105360515657826
"PFMC","Groundfish",0.54,"OFL",0.054,0.1,0.105360515657826
"PFMC","Groundfish",0.55,"OFL",0.055,0.1,0.105360515657826
"PFMC","Groundfish",0.56,"OFL",0.056,0.1,0.105360515657826
"PFMC","Groundfish",0.57,"OFL",0.057,0.1,0.105360515657826
"PFMC","Groundfish",0.58,"OFL",0.058,0.1,0.105360515657826
"PFMC","Groundfish",0.59,"OFL",0.059,0.1,0.105360515657826
"PFMC","Groundfish",0.6,"OFL",0.06,0.1,0.105360515657826
"PFMC","Groundfish",0.61,"OFL",0.061,0.1,0.105360515657826
"PFMC","Groundfish",0.62,"OFL",0.062,0.1,0.105360515657826
"PFMC","Groundfish",0.63,"OFL",0.063,0.1,0.105360515657826
"PFMC","Groundfish",0.64,"OFL",0.064,0.1,0.105360515657826
"PFMC","Groundfish",0.65,"OFL",0.065,0.1,0.105360515657826
"PFMC","Groundfish",0.66,"OFL",0.066,0.1,0.105360515657826
"PFMC","Groundfish",0.67,"OFL",0.067,0.1,0.105360515657826
"PFMC","Groundfish",0.68,"OFL",0.068,0.1,0.105360515657826
"PFMC","Groundfish",0.69,"OFL",0.069,0.1,0.105360515657826
"PFMC","Groundfish",0.7,"OFL",0.07,0.1,0.105360515657826
"PFMC","Groundfish",0.71,"OFL",0.071,0.1,0.105360515657826
"PFMC","Groundfish",0.72,"OFL",0.072,0.1,0.105360515657826
"PFMC","Groundfish",0.73,"OFL",0.073,0.1,0.105360515657826
"PFMC","Groundfish",0.74,"OFL",0.074,0.1,0.105360515657826
"PFMC","Groundfish",0.75,"OFL",0.075,0.1,0.105360515657826
"PFMC","Groundfish",0.76,"OFL",0.076,0.1,0.105360515657826
"PFMC","Groundfish",0.77,"OFL",0.077,0.1,0.105360515657826
"PFMC","Groundfish",0.78,"OFL",0.078,0.1,0.105360515657826
"PFMC","Groundfish",0.79,"OFL",0.079,0.1,0.105360515657826
"PFMC","Groundfish",0.8,"OFL",0.08,0.1,0.105360515657826
"PFMC","Groundfish",0.81,"OFL",0.081,0.1,0.105360515657826
"PFMC","Groundfish",0.82,"OFL",0.082,0.1,0.105360515657826
"PFMC","Groundfish",0.83,"OFL",0.083,0.1,0.105360515657826
"PFMC","Groundfish",0.84,"OFL",0.084,0.1,0.105360515657826
"PFMC","Groundfish",0.85,"OFL",0.085,0.1,0.105360515657826
"PFMC","Groundfish",0.86,"OFL",0.086,0.1,0.105360515657826
"PFMC","Groundfish",0.87,"OFL",0.087,0.1,0.105360515657826
"PFMC","Groundfish",0.88,"OFL",0.088,0.1,0.105360515657826
"PFMC","Groundfish",0.89,"OFL",0.089,0.1,0.105360515657826
"PFMC","Groundfish",0.9,"OFL",0.09,0.1,0.105360515657826
"PFMC","Groundfish",0.91,"OFL",0.091,0.1,0.105360515657826
"PFMC","Groundfish",0.92,"OFL",0.092,0.1,0.105360515657826
"PFMC","Groundfish",0.93,"OFL",0.093,0.1,0.105360515657826
"PFMC","Groundfish",0.94,"OFL",0.094,0.1,0.105360515657826
"PFMC","Groundfish",0.95,"OFL",0.095,0.1,0.105360515657826
"PFMC","Groundfish",0.96,"OFL",0.096,0.1,0.105360515657826
"PFMC","Groundfish",0.97,"OFL",0.097,0.1,0.105360515657826
"PFMC","Groundfish",0.98,"OFL",0.098,0.1,0.105360515657826
"PFMC","Groundfish",0.99,"OFL",0.099,0.1,0.105360515657826
"PFMC","Groundfish",1,"OFL",0.1,0.1,0.105360515657826
"PFMC","Groundfish",0,"ABC",0,NA,NA
"PFMC","Groundfish",0.01,"ABC",9e-04,0.09,0.0943106794712413
"PFMC","Groundfish",0.02,"ABC",0.0018,0.09,0.0943106794712413
"PFMC","Groundfish",0.03,"ABC",0.0027,0.09,0.0943106794712413
"PFMC","Groundfish",0.04,"ABC",0.0036,0.09,0.0943106794712413
"PFMC","Groundfish",0.05,"ABC",0.0045,0.09,0.0943106794712414
"PFMC","Groundfish",0.06,"ABC",0.0054,0.09,0.0943106794712413
"PFMC","Groundfish",0.07,"ABC",0.0063,0.09,0.0943106794712413
"PFMC","Groundfish",0.08,"ABC",0.0072,0.09,0.0943106794712413
"PFMC","Groundfish",0.09,"ABC",0.0081,0.09,0.0943106794712413
"PFMC","Groundfish",0.1,"ABC",0.009,0.09,0.0943106794712414
"PFMC","Groundfish",0.11,"ABC",0.0099,0.09,0.0943106794712413
"PFMC","Groundfish",0.12,"ABC",0.0108,0.09,0.0943106794712413
"PFMC","Groundfish",0.13,"ABC",0.0117,0.09,0.0943106794712413
