"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NPFMC","BSAI King and Tanner Crab",0,0,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.01,0.02,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.02,0.04,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.03,0.06,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.04,0.08,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.05,0.1,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.06,0.12,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.07,0.14,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.08,0.16,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.09,0.18,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.1,0.2,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.11,0.22,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.12,0.24,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.13,0.26,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.14,0.28,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.15,0.3,"OFL",0,0,0
"NPFMC","BSAI King and Tanner Crab",0.16,0.32,"OFL",0.0257547927163575,0.025425967036442,0.00406815472583071
"NPFMC","BSAI King and Tanner Crab",0.17,0.34,"OFL",0.0280961375087537,0.0277051117004113,0.00470986898906993
"NPFMC","BSAI King and Tanner Crab",0.18,0.36,"OFL",0.0304374823011498,0.0299789263430343,0.00539620674174618
"NPFMC","BSAI King and Tanner Crab",0.19,0.38,"OFL",0.032778827093546,0.0322474234291308,0.00612701045153485
"NPFMC","BSAI King and Tanner Crab",0.2,0.4,"OFL",0.0351201718859421,0.0345106153943703,0.00690212307887406
"NPFMC","BSAI King and Tanner Crab",0.21,0.42,"OFL",0.0374615166783382,0.03676851464534,0.00772138807552141
"NPFMC","BSAI King and Tanner Crab",0.22,0.44,"OFL",0.0398028614707344,0.0390211335596133,0.00858464938311494
"NPFMC","BSAI King and Tanner Crab",0.23,0.46,"OFL",0.0421442062631305,0.0412684844858173,0.00949175143173799
"NPFMC","BSAI King and Tanner Crab",0.24,0.48,"OFL",0.0444855510555267,0.0435105797437002,0.010442539138488
"NPFMC","BSAI King and Tanner Crab",0.25,0.5,"OFL",0.0468268958479228,0.0457474316241995,0.0114368579060499
"NPFMC","BSAI King and Tanner Crab",0.26,0.52,"OFL",0.0491682406403189,0.0479790523895088,0.0124745536212723
"NPFMC","BSAI King and Tanner Crab",0.27,0.54,"OFL",0.0515095854327151,0.0502054542731456,0.0135554726537493
"NPFMC","BSAI King and Tanner Crab",0.28,0.56,"OFL",0.0538509302251112,0.0524266494800176,0.0146794618544049
"NPFMC","BSAI King and Tanner Crab",0.29,0.58,"OFL",0.0561922750175073,0.0546426501864903,0.0158463685540822
"NPFMC","BSAI King and Tanner Crab",0.3,0.6,"OFL",0.0585336198099035,0.0568534685404535,0.017056040562136
"NPFMC","BSAI King and Tanner Crab",0.31,0.62,"OFL",0.0608749646022996,0.0590591166613875,0.0183083261650301
"NPFMC","BSAI King and Tanner Crab",0.32,0.64,"OFL",0.0632163093946958,0.0612596066404306,0.0196030741249378
"NPFMC","BSAI King and Tanner Crab",0.33,0.66,"OFL",0.0655576541870919,0.0634549505404439,0.0209401336783465
"NPFMC","BSAI King and Tanner Crab",0.34,0.68,"OFL",0.067898998979488,0.0656451603960789,0.0223193545346668
"NPFMC","BSAI King and Tanner Crab",0.35,0.7,"OFL",0.0702403437718842,0.0678302482138423,0.0237405868748448
"NPFMC","BSAI King and Tanner Crab",0.36,0.72,"OFL",0.0725816885642803,0.0700102259721627,0.0252036813499786
"NPFMC","BSAI King and Tanner Crab",0.37,0.74,"OFL",0.0749230333566765,0.0721851056214554,0.0267084890799385
"NPFMC","BSAI King and Tanner Crab",0.38,0.76,"OFL",0.0772643781490726,0.0743548990841889,0.0282548616519918
"NPFMC","BSAI King and Tanner Crab",0.39,0.78,"OFL",0.0796057229414688,0.0765196182549496,0.0298426511194303
"NPFMC","BSAI King and Tanner Crab",0.4,0.8,"OFL",0.0819470677338649,0.0786792750005068,0.0314717100002027
"NPFMC","BSAI King and Tanner Crab",0.41,0.82,"OFL",0.084288412526261,0.0808338811598784,0.0331418912755502
"NPFMC","BSAI King and Tanner Crab",0.42,0.84,"OFL",0.0866297573186572,0.0829834485443957,0.0348530483886462
"NPFMC","BSAI King and Tanner Crab",0.43,0.86,"OFL",0.0889711021110533,0.0851279889377675,0.03660503524324
"NPFMC","BSAI King and Tanner Crab",0.44,0.88,"OFL",0.0913124469034494,0.0872675140961455,0.038397706202304
"NPFMC","BSAI King and Tanner Crab",0.45,0.9,"OFL",0.0936537916958456,0.0894020357481882,0.0402309160866847
"NPFMC","BSAI King and Tanner Crab",0.46,0.92,"OFL",0.0959951364882417,0.0915315655951254,0.0421045201737577
"NPFMC","BSAI King and Tanner Crab",0.47,0.94,"OFL",0.0983364812806379,0.0936561153108225,0.0440183741960866
"NPFMC","BSAI King and Tanner Crab",0.48,0.96,"OFL",0.100677826073034,0.0957756965418441,0.0459723343400852
"NPFMC","BSAI King and Tanner Crab",0.49,0.98,"OFL",0.10301917086543,0.0978903209075184,0.047966257244684
"NPFMC","BSAI King and Tanner Crab",0.5,1,"OFL",0.105360515657826,0.1,0.05
"NPFMC","BSAI King and Tanner Crab",0.51,1.02,"OFL",0.105360515657826,0.1,0.051
"NPFMC","BSAI King and Tanner Crab",0.52,1.04,"OFL",0.105360515657826,0.1,0.052
"NPFMC","BSAI King and Tanner Crab",0.53,1.06,"OFL",0.105360515657826,0.1,0.053
"NPFMC","BSAI King and Tanner Crab",0.54,1.08,"OFL",0.105360515657826,0.1,0.054
"NPFMC","BSAI King and Tanner Crab",0.55,1.1,"OFL",0.105360515657826,0.1,0.055
"NPFMC","BSAI King and Tanner Crab",0.56,1.12,"OFL",0.105360515657826,0.1,0.056
"NPFMC","BSAI King and Tanner Crab",0.57,1.14,"OFL",0.105360515657826,0.1,0.057
"NPFMC","BSAI King and Tanner Crab",0.58,1.16,"OFL",0.105360515657826,0.1,0.058
"NPFMC","BSAI King and Tanner Crab",0.59,1.18,"OFL",0.105360515657826,0.1,0.059
"NPFMC","BSAI King and Tanner Crab",0.6,1.2,"OFL",0.105360515657826,0.1,0.06
"NPFMC","BSAI King and Tanner Crab",0.61,1.22,"OFL",0.105360515657826,0.1,0.061
"NPFMC","BSAI King and Tanner Crab",0.62,1.24,"OFL",0.105360515657826,0.1,0.062
"NPFMC","BSAI King and Tanner Crab",0.63,1.26,"OFL",0.105360515657826,0.1,0.063
"NPFMC","BSAI King and Tanner Crab",0.64,1.28,"OFL",0.105360515657826,0.1,0.064
"NPFMC","BSAI King and Tanner Crab",0.65,1.3,"OFL",0.105360515657826,0.1,0.065
"NPFMC","BSAI King and Tanner Crab",0.66,1.32,"OFL",0.105360515657826,0.1,0.066
"NPFMC","BSAI King and Tanner Crab",0.67,1.34,"OFL",0.105360515657826,0.1,0.067
"NPFMC","BSAI King and Tanner Crab",0.68,1.36,"OFL",0.105360515657826,0.1,0.068
"NPFMC","BSAI King and Tanner Crab",0.69,1.38,"OFL",0.105360515657826,0.1,0.069
"NPFMC","BSAI King and Tanner Crab",0.7,1.4,"OFL",0.105360515657826,0.1,0.07
"NPFMC","BSAI King and Tanner Crab",0.71,1.42,"OFL",0.105360515657826,0.1,0.071
"NPFMC","BSAI King and Tanner Crab",0.72,1.44,"OFL",0.105360515657826,0.1,0.072
"NPFMC","BSAI King and Tanner Crab",0.73,1.46,"OFL",0.105360515657826,0.1,0.073
"NPFMC","BSAI King and Tanner Crab",0.74,1.48,"OFL",0.105360515657826,0.1,0.074
"NPFMC","BSAI King and Tanner Crab",0.75,1.5,"OFL",0.105360515657826,0.1,0.075
"NPFMC","BSAI King and Tanner Crab",0.76,1.52,"OFL",0.105360515657826,0.1,0.076
"NPFMC","BSAI King and Tanner Crab",0.77,1.54,"OFL",0.105360515657826,0.1,0.077
"NPFMC","BSAI King and Tanner Crab",0.78,1.56,"OFL",0.105360515657826,0.1,0.078
"NPFMC","BSAI King and Tanner Crab",0.79,1.58,"OFL",0.105360515657826,0.1,0.079
"NPFMC","BSAI King and Tanner Crab",0.8,1.6,"OFL",0.105360515657826,0.1,0.08
"NPFMC","BSAI King and Tanner Crab",0.81,1.62,"OFL",0.105360515657826,0.1,0.081
"NPFMC","BSAI King and Tanner Crab",0.82,1.64,"OFL",0.105360515657826,0.1,0.082
"NPFMC","BSAI King and Tanner Crab",0.83,1.66,"OFL",0.105360515657826,0.1,0.083
"NPFMC","BSAI King and Tanner Crab",0.84,1.68,"OFL",0.105360515657826,0.1,0.084
"NPFMC","BSAI King and Tanner Crab",0.85,1.7,"OFL",0.105360515657826,0.1,0.085
"NPFMC","BSAI King and Tanner Crab",0.86,1.72,"OFL",0.105360515657826,0.1,0.086
"NPFMC","BSAI King and Tanner Crab",0.87,1.74,"OFL",0.105360515657826,0.1,0.087
"NPFMC","BSAI King and Tanner Crab",0.88,1.76,"OFL",0.105360515657826,0.1,0.088
"NPFMC","BSAI King and Tanner Crab",0.89,1.78,"OFL",0.105360515657826,0.1,0.089
"NPFMC","BSAI King and Tanner Crab",0.9,1.8,"OFL",0.105360515657826,0.1,0.09
"NPFMC","BSAI King and Tanner Crab",0.91,1.82,"OFL",0.105360515657826,0.1,0.091
"NPFMC","BSAI King and Tanner Crab",0.92,1.84,"OFL",0.105360515657826,0.1,0.092
"NPFMC","BSAI King and Tanner Crab",0.93,1.86,"OFL",0.105360515657826,0.1,0.093
