"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NPFMC","Scallop",0,0,"OFL",0.105360515657826,0.1,0
"NPFMC","Scallop",0.01,0.02,"OFL",0.105360515657826,0.1,0.001
"NPFMC","Scallop",0.02,0.04,"OFL",0.105360515657826,0.1,0.002
"NPFMC","Scallop",0.03,0.06,"OFL",0.105360515657826,0.1,0.003
"NPFMC","Scallop",0.04,0.08,"OFL",0.105360515657826,0.1,0.004
"NPFMC","Scallop",0.05,0.1,"OFL",0.105360515657826,0.1,0.005
"NPFMC","Scallop",0.06,0.12,"OFL",0.105360515657826,0.1,0.006
"NPFMC","Scallop",0.07,0.14,"OFL",0.105360515657826,0.1,0.007
"NPFMC","Scallop",0.08,0.16,"OFL",0.105360515657826,0.1,0.008
"NPFMC","Scallop",0.09,0.18,"OFL",0.105360515657826,0.1,0.009
"NPFMC","Scallop",0.1,0.2,"OFL",0.105360515657826,0.1,0.01
"NPFMC","Scallop",0.11,0.22,"OFL",0.105360515657826,0.1,0.011
"NPFMC","Scallop",0.12,0.24,"OFL",0.105360515657826,0.1,0.012
"NPFMC","Scallop",0.13,0.26,"OFL",0.105360515657826,0.1,0.013
"NPFMC","Scallop",0.14,0.28,"OFL",0.105360515657826,0.1,0.014
"NPFMC","Scallop",0.15,0.3,"OFL",0.105360515657826,0.1,0.015
"NPFMC","Scallop",0.16,0.32,"OFL",0.105360515657826,0.1,0.016
"NPFMC","Scallop",0.17,0.34,"OFL",0.105360515657826,0.1,0.017
"NPFMC","Scallop",0.18,0.36,"OFL",0.105360515657826,0.1,0.018
"NPFMC","Scallop",0.19,0.38,"OFL",0.105360515657826,0.1,0.019
"NPFMC","Scallop",0.2,0.4,"OFL",0.105360515657826,0.1,0.02
"NPFMC","Scallop",0.21,0.42,"OFL",0.105360515657826,0.1,0.021
"NPFMC","Scallop",0.22,0.44,"OFL",0.105360515657826,0.1,0.022
"NPFMC","Scallop",0.23,0.46,"OFL",0.105360515657826,0.1,0.023
"NPFMC","Scallop",0.24,0.48,"OFL",0.105360515657826,0.1,0.024
"NPFMC","Scallop",0.25,0.5,"OFL",0.105360515657826,0.1,0.025
"NPFMC","Scallop",0.26,0.52,"OFL",0.105360515657826,0.1,0.026
"NPFMC","Scallop",0.27,0.54,"OFL",0.105360515657826,0.1,0.027
"NPFMC","Scallop",0.28,0.56,"OFL",0.105360515657826,0.1,0.028
"NPFMC","Scallop",0.29,0.58,"OFL",0.105360515657826,0.1,0.029
"NPFMC","Scallop",0.3,0.6,"OFL",0.105360515657826,0.1,0.03
"NPFMC","Scallop",0.31,0.62,"OFL",0.105360515657826,0.1,0.031
"NPFMC","Scallop",0.32,0.64,"OFL",0.105360515657826,0.1,0.032
"NPFMC","Scallop",0.33,0.66,"OFL",0.105360515657826,0.1,0.033
"NPFMC","Scallop",0.34,0.68,"OFL",0.105360515657826,0.1,0.034
"NPFMC","Scallop",0.35,0.7,"OFL",0.105360515657826,0.1,0.035
"NPFMC","Scallop",0.36,0.72,"OFL",0.105360515657826,0.1,0.036
"NPFMC","Scallop",0.37,0.74,"OFL",0.105360515657826,0.1,0.037
"NPFMC","Scallop",0.38,0.76,"OFL",0.105360515657826,0.1,0.038
"NPFMC","Scallop",0.39,0.78,"OFL",0.105360515657826,0.1,0.039
"NPFMC","Scallop",0.4,0.8,"OFL",0.105360515657826,0.1,0.04
"NPFMC","Scallop",0.41,0.82,"OFL",0.105360515657826,0.1,0.041
"NPFMC","Scallop",0.42,0.84,"OFL",0.105360515657826,0.1,0.042
"NPFMC","Scallop",0.43,0.86,"OFL",0.105360515657826,0.1,0.043
"NPFMC","Scallop",0.44,0.88,"OFL",0.105360515657826,0.1,0.044
"NPFMC","Scallop",0.45,0.9,"OFL",0.105360515657826,0.1,0.045
"NPFMC","Scallop",0.46,0.92,"OFL",0.105360515657826,0.1,0.046
"NPFMC","Scallop",0.47,0.94,"OFL",0.105360515657826,0.1,0.047
"NPFMC","Scallop",0.48,0.96,"OFL",0.105360515657826,0.1,0.048
"NPFMC","Scallop",0.49,0.98,"OFL",0.105360515657826,0.1,0.049
"NPFMC","Scallop",0.5,1,"OFL",0.105360515657826,0.1,0.05
"NPFMC","Scallop",0.51,1.02,"OFL",0.105360515657826,0.1,0.051
"NPFMC","Scallop",0.52,1.04,"OFL",0.105360515657826,0.1,0.052
"NPFMC","Scallop",0.53,1.06,"OFL",0.105360515657826,0.1,0.053
"NPFMC","Scallop",0.54,1.08,"OFL",0.105360515657826,0.1,0.054
"NPFMC","Scallop",0.55,1.1,"OFL",0.105360515657826,0.1,0.055
"NPFMC","Scallop",0.56,1.12,"OFL",0.105360515657826,0.1,0.056
"NPFMC","Scallop",0.57,1.14,"OFL",0.105360515657826,0.1,0.057
"NPFMC","Scallop",0.58,1.16,"OFL",0.105360515657826,0.1,0.058
"NPFMC","Scallop",0.59,1.18,"OFL",0.105360515657826,0.1,0.059
"NPFMC","Scallop",0.6,1.2,"OFL",0.105360515657826,0.1,0.06
"NPFMC","Scallop",0.61,1.22,"OFL",0.105360515657826,0.1,0.061
"NPFMC","Scallop",0.62,1.24,"OFL",0.105360515657826,0.1,0.062
"NPFMC","Scallop",0.63,1.26,"OFL",0.105360515657826,0.1,0.063
"NPFMC","Scallop",0.64,1.28,"OFL",0.105360515657826,0.1,0.064
"NPFMC","Scallop",0.65,1.3,"OFL",0.105360515657826,0.1,0.065
"NPFMC","Scallop",0.66,1.32,"OFL",0.105360515657826,0.1,0.066
"NPFMC","Scallop",0.67,1.34,"OFL",0.105360515657826,0.1,0.067
"NPFMC","Scallop",0.68,1.36,"OFL",0.105360515657826,0.1,0.068
"NPFMC","Scallop",0.69,1.38,"OFL",0.105360515657826,0.1,0.069
"NPFMC","Scallop",0.7,1.4,"OFL",0.105360515657826,0.1,0.07
"NPFMC","Scallop",0.71,1.42,"OFL",0.105360515657826,0.1,0.071
"NPFMC","Scallop",0.72,1.44,"OFL",0.105360515657826,0.1,0.072
"NPFMC","Scallop",0.73,1.46,"OFL",0.105360515657826,0.1,0.073
"NPFMC","Scallop",0.74,1.48,"OFL",0.105360515657826,0.1,0.074
"NPFMC","Scallop",0.75,1.5,"OFL",0.105360515657826,0.1,0.075
"NPFMC","Scallop",0.76,1.52,"OFL",0.105360515657826,0.1,0.076
"NPFMC","Scallop",0.77,1.54,"OFL",0.105360515657826,0.1,0.077
"NPFMC","Scallop",0.78,1.56,"OFL",0.105360515657826,0.1,0.078
"NPFMC","Scallop",0.79,1.58,"OFL",0.105360515657826,0.1,0.079
"NPFMC","Scallop",0.8,1.6,"OFL",0.105360515657826,0.1,0.08
"NPFMC","Scallop",0.81,1.62,"OFL",0.105360515657826,0.1,0.081
"NPFMC","Scallop",0.82,1.64,"OFL",0.105360515657826,0.1,0.082
"NPFMC","Scallop",0.83,1.66,"OFL",0.105360515657826,0.1,0.083
