"fmc","fmp","biomass","bbmsy","value","catch","u","f"
"WPFMC","All FMPs",0,0,"OFL",0,NA,NA
"WPFMC","All FMPs",0.01,0.02,"OFL",0.001,0.1,0.105360515657826
"WPFMC","All FMPs",0.02,0.04,"OFL",0.002,0.1,0.105360515657826
"WPFMC","All FMPs",0.03,0.06,"OFL",0.003,0.1,0.105360515657826
"WPFMC","All FMPs",0.04,0.08,"OFL",0.004,0.1,0.105360515657826
"WPFMC","All FMPs",0.05,0.1,"OFL",0.005,0.1,0.105360515657826
"WPFMC","All FMPs",0.06,0.12,"OFL",0.006,0.1,0.105360515657826
"WPFMC","All FMPs",0.07,0.14,"OFL",0.007,0.1,0.105360515657826
"WPFMC","All FMPs",0.08,0.16,"OFL",0.008,0.1,0.105360515657826
"WPFMC","All FMPs",0.09,0.18,"OFL",0.009,0.1,0.105360515657826
"WPFMC","All FMPs",0.1,0.2,"OFL",0.01,0.1,0.105360515657826
"WPFMC","All FMPs",0.11,0.22,"OFL",0.011,0.1,0.105360515657826
"WPFMC","All FMPs",0.12,0.24,"OFL",0.012,0.1,0.105360515657826
"WPFMC","All FMPs",0.13,0.26,"OFL",0.013,0.1,0.105360515657826
"WPFMC","All FMPs",0.14,0.28,"OFL",0.014,0.1,0.105360515657826
"WPFMC","All FMPs",0.15,0.3,"OFL",0.015,0.1,0.105360515657826
"WPFMC","All FMPs",0.16,0.32,"OFL",0.016,0.1,0.105360515657826
"WPFMC","All FMPs",0.17,0.34,"OFL",0.017,0.1,0.105360515657826
"WPFMC","All FMPs",0.18,0.36,"OFL",0.018,0.1,0.105360515657826
"WPFMC","All FMPs",0.19,0.38,"OFL",0.019,0.1,0.105360515657826
"WPFMC","All FMPs",0.2,0.4,"OFL",0.02,0.1,0.105360515657826
"WPFMC","All FMPs",0.21,0.42,"OFL",0.021,0.1,0.105360515657826
"WPFMC","All FMPs",0.22,0.44,"OFL",0.022,0.1,0.105360515657826
"WPFMC","All FMPs",0.23,0.46,"OFL",0.023,0.1,0.105360515657826
"WPFMC","All FMPs",0.24,0.48,"OFL",0.024,0.1,0.105360515657826
"WPFMC","All FMPs",0.25,0.5,"OFL",0.025,0.1,0.105360515657826
"WPFMC","All FMPs",0.26,0.52,"OFL",0.026,0.1,0.105360515657826
"WPFMC","All FMPs",0.27,0.54,"OFL",0.027,0.1,0.105360515657826
"WPFMC","All FMPs",0.28,0.56,"OFL",0.028,0.1,0.105360515657826
"WPFMC","All FMPs",0.29,0.58,"OFL",0.029,0.1,0.105360515657826
"WPFMC","All FMPs",0.3,0.6,"OFL",0.03,0.1,0.105360515657826
"WPFMC","All FMPs",0.31,0.62,"OFL",0.031,0.1,0.105360515657826
"WPFMC","All FMPs",0.32,0.64,"OFL",0.032,0.1,0.105360515657826
"WPFMC","All FMPs",0.33,0.66,"OFL",0.033,0.1,0.105360515657826
"WPFMC","All FMPs",0.34,0.68,"OFL",0.034,0.1,0.105360515657826
"WPFMC","All FMPs",0.35,0.7,"OFL",0.035,0.1,0.105360515657826
"WPFMC","All FMPs",0.36,0.72,"OFL",0.036,0.1,0.105360515657826
"WPFMC","All FMPs",0.37,0.74,"OFL",0.037,0.1,0.105360515657826
"WPFMC","All FMPs",0.38,0.76,"OFL",0.038,0.1,0.105360515657826
"WPFMC","All FMPs",0.39,0.78,"OFL",0.039,0.1,0.105360515657826
"WPFMC","All FMPs",0.4,0.8,"OFL",0.04,0.1,0.105360515657826
"WPFMC","All FMPs",0.41,0.82,"OFL",0.041,0.1,0.105360515657826
