"fmc","fmp","sst_c","biomass","emsy","limit_type","catch","u","sst_label"
"PFMC","Sardine",15,0,0.0688425000000006,"OFL",0,NA,"15.0°C"
"PFMC","Sardine",15,10000,0.0688425000000006,"OFL",598.929750000005,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,20000,0.0688425000000006,"OFL",1197.85950000001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,30000,0.0688425000000006,"OFL",1796.78925000002,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,40000,0.0688425000000006,"OFL",2395.71900000002,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,50000,0.0688425000000006,"OFL",2994.64875000003,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,60000,0.0688425000000006,"OFL",3593.57850000003,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,70000,0.0688425000000006,"OFL",4192.50825000004,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,80000,0.0688425000000006,"OFL",4791.43800000004,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,90000,0.0688425000000006,"OFL",5390.36775000005,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,1e+05,0.0688425000000006,"OFL",5989.29750000005,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,110000,0.0688425000000006,"OFL",6588.22725000006,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,120000,0.0688425000000006,"OFL",7187.15700000006,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,130000,0.0688425000000006,"OFL",7786.08675000007,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,140000,0.0688425000000006,"OFL",8385.01650000007,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,150000,0.0688425000000006,"OFL",8983.94625000008,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,160000,0.0688425000000006,"OFL",9582.87600000008,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,170000,0.0688425000000006,"OFL",10181.8057500001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,180000,0.0688425000000006,"OFL",10780.7355000001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,190000,0.0688425000000006,"OFL",11379.6652500001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,2e+05,0.0688425000000006,"OFL",11978.5950000001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,210000,0.0688425000000006,"OFL",12577.5247500001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,220000,0.0688425000000006,"OFL",13176.4545000001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,230000,0.0688425000000006,"OFL",13775.3842500001,0.0688425000000006,"15.0°C"
"PFMC","Sardine",15,240000,0.0688425000000006,"OFL",14374.3140000001,0.0688425000000006,"15.0°C"
