"fmc","fmp","biomass","bbmsy","catch","u","f"
"NPFMC","Salmon",0.8,1.6,0.3,0.375,0.470003629245736
"NPFMC","Salmon",0.81,1.62,0.31,0.382716049382716,0.482426149244293
"NPFMC","Salmon",0.82,1.64,0.32,0.390243902439024,0.494696241836107
"NPFMC","Salmon",0.83,1.66,0.33,0.397590361445783,0.506817602368452
"NPFMC","Salmon",0.84,1.68,0.34,0.404761904761905,0.518793793415168
"NPFMC","Salmon",0.85,1.7,0.35,0.411764705882353,0.53062825106217
"NPFMC","Salmon",0.86,1.72,0.36,0.418604651162791,0.542324290825362
"NPFMC","Salmon",0.87,1.74,0.37,0.425287356321839,0.553885113226438
"NPFMC","Salmon",0.88,1.76,0.38,0.431818181818182,0.565313809050061
"NPFMC","Salmon",0.89,1.78,0.39,0.438202247191011,0.576613364303994
"NPFMC","Salmon",0.9,1.8,0.4,0.444444444444444,0.587786664902119
"NPFMC","Salmon",0.91,1.82,0.41,0.450549450549451,0.598836501088704
"NPFMC","Salmon",0.92,1.84,0.42,0.456521739130435,0.609765571620894
"NPFMC","Salmon",0.93,1.86,0.43,0.462365591397849,0.62057648772511
"NPFMC","Salmon",0.94,1.88,0.44,0.468085106382979,0.631271776841858
"NPFMC","Salmon",0.95,1.9,0.45,0.473684210526316,0.641853886172395
"NPFMC","Salmon",0.96,1.92,0.46,0.479166666666667,0.65232518603969
"NPFMC","Salmon",0.97,1.94,0.47,0.484536082474227,0.662687973075237
"NPFMC","Salmon",0.98,1.96,0.48,0.489795918367347,0.672944473242426
"NPFMC","Salmon",0.99,1.98,0.49,0.494949494949495,0.683096844706444
"NPFMC","Salmon",1,2,0.5,0.5,0.693147180559945
